issuer_name,position_date,net_short_position,position_holder,isin,source
TomTom N.V.,2026-03-19,0.61,Winton Capital Management Limited,NL0013332471,current
Alfen N.V.,2026-03-19,2.83,"WorldQuant, LLC",NL0012817175,current
IMCD N.V.,2026-03-19,0.6,"WorldQuant, LLC",NL0010801007,current
Adyen N.V.,2026-03-18,0.6,"AQR Capital Management, LLC",NL0012969182,current
Signify N.V.,2026-03-18,1.21,Citadel Advisors Europe Limited,NL0011821392,current
Akzo Nobel N.V.,2026-03-18,0.52,"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,current
DSM-Firmenich AG,2026-03-18,0.87,Ilex Capital Partners (UK) LLP,CH1216478797,current
Theon International Plc,2026-03-18,0.57,Qube Research & Technologies Ltd.,CY0200751713,current
InPost S.A.,2026-03-18,1.11,"Two Sigma Investments, LP",LU2290522684,current
Alfen N.V.,2026-03-18,1.97,Voleon Capital Management LP,NL0012817175,current
Alfen N.V.,2026-03-18,2.98,"WorldQuant, LLC",NL0012817175,current
CVC Capital Partners plc,2026-03-17,0.71,Qube Research & Technologies Ltd.,JE00BRX98089,current
The Magnum Ice Cream Company N.V.,2026-03-16,1.3,Marshall Wace LLP,NL0015002MS2,current
IMCD N.V.,2026-03-16,0.8,"PDT Partners, LLC",NL0010801007,current
Alfen N.V.,2026-03-16,3.08,"WorldQuant, LLC",NL0012817175,current
Adyen N.V.,2026-03-13,0.52,"AQR Capital Management, LLC",NL0012969182,current
DSM-Firmenich AG,2026-03-13,0.98,Ilex Capital Partners (UK) LLP,CH1216478797,current
CVC Capital Partners plc,2026-03-13,0.52,Marshall Wace LLP,JE00BRX98089,current
Randstad N.V.,2026-03-13,0.61,Marshall Wace LLP,NL0000379121,current
Alfen N.V.,2026-03-13,3.14,"WorldQuant, LLC",NL0012817175,current
IMCD N.V.,2026-03-13,0.52,"WorldQuant, LLC",NL0010801007,current
Envipco Holding N.V.,2026-03-12,0.54,Actus Ray Partners Limited,NL0015000GX8,current
Signify N.V.,2026-03-12,0.65,Canada Pension Plan Investment Board,NL0011821392,current
IMCD N.V.,2026-03-12,0.64,JPMorgan Asset Management (UK) Ltd.,NL0010801007,current
ARCADIS N.V.,2026-03-12,1.1,Squarepoint Ops LLC,NL0006237562,current
Signify N.V.,2026-03-11,0.57,Canada Pension Plan Investment Board,NL0011821392,current
Adyen N.V.,2026-03-11,0.6,Capital Fund Management S.A.,NL0012969182,current
Signify N.V.,2026-03-11,2.24,Citadel Advisors LLC,NL0011821392,current
Signify N.V.,2026-03-11,1.91,Marshall Wace LLP,NL0011821392,current
Signify N.V.,2026-03-10,2.17,Citadel Advisors LLC,NL0011821392,current
Pharming Group N.V.,2026-03-10,0.96,Lazard Asset Management LLC,NL0010391025,current
The Magnum Ice Cream Company N.V.,2026-03-10,1.21,Marshall Wace LLP,NL0015002MS2,current
InPost S.A.,2026-03-10,1.03,"Two Sigma Investments, LP",LU2290522684,current
TomTom N.V.,2026-03-10,0.52,Winton Capital Management Limited,NL0013332471,current
IMCD N.V.,2026-03-09,0.72,Acadian Asset Management LLC.,NL0010801007,current
Akzo Nobel N.V.,2026-03-09,1.21,AKO Capital LLP,NL0013267909,current
Adyen N.V.,2026-03-09,0.51,Capital Fund Management S.A.,NL0012969182,current
Signify N.V.,2026-03-09,1.18,Citadel Advisors Europe Limited,NL0011821392,current
PostNL N.V.,2026-03-09,0.69,Citadel Advisors LLC,NL0009739416,current
Signify N.V.,2026-03-09,2.06,Citadel Advisors LLC,NL0011821392,current
Alfen N.V.,2026-03-09,1.29,"D. E. Shaw & Co., L.P.",NL0012817175,current
IMCD N.V.,2026-03-09,0.71,"Two Sigma Investments, LP",NL0010801007,current
Universal Music Group N.V.,2026-03-06,0.6,"AQR Capital Management, LLC",NL0015000IY2,current
IMCD N.V.,2026-03-06,0.7,"BlackRock Advisors, LLC",NL0010801007,current
Signify N.V.,2026-03-06,1.88,Citadel Advisors LLC,NL0011821392,current
Fugro N.V.,2026-03-06,0.81,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,current
ARCADIS N.V.,2026-03-06,1.09,Squarepoint Ops LLC,NL0006237562,current
IMCD N.V.,2026-03-05,1.1,"BlackRock Financial Management, Inc.",NL0010801007,current
Wereldhave N.V.,2026-03-05,0.63,Citadel Advisors LLC,NL0000289213,current
Randstad N.V.,2026-03-05,0.5,Marshall Wace LLP,NL0000379121,current
The Magnum Ice Cream Company N.V.,2026-03-05,1.11,Marshall Wace LLP,NL0015002MS2,current
CVC Capital Partners plc,2026-03-05,0.6,Qube Research & Technologies Ltd.,JE00BRX98089,current
Theon International Plc,2026-03-05,0.64,Qube Research & Technologies Ltd.,CY0200751713,current
IMCD N.V.,2026-03-04,0.61,Acadian Asset Management LLC.,NL0010801007,current
Aalberts N.V.,2026-03-04,0.52,"AQR Capital Management, LLC",NL0000852564,current
Signify N.V.,2026-03-04,1.03,"AQR Capital Management, LLC",NL0011821392,current
IMCD N.V.,2026-03-04,1.06,"BlackRock Financial Management, Inc.",NL0010801007,current
PostNL N.V.,2026-03-04,0.7,Citadel Advisors LLC,NL0009739416,current
Signify N.V.,2026-03-04,1.87,Marshall Wace LLP,NL0011821392,current
IMCD N.V.,2026-03-04,0.71,"PDT Partners, LLC",NL0010801007,current
Signify N.V.,2026-03-04,0.8,"PDT Partners, LLC",NL0011821392,current
Theon International Plc,2026-03-04,0.59,Qube Research & Technologies Ltd.,CY0200751713,current
InPost S.A.,2026-03-04,0.9,"Two Sigma Investments, LP",LU2290522684,current
DSM-Firmenich AG,2026-03-03,1.03,Ilex Capital Partners (UK) LLP,CH1216478797,current
Pharming Group N.V.,2026-03-03,0.77,Lazard Asset Management LLC,NL0010391025,current
PostNL N.V.,2026-03-03,0.69,Marshall Wace LLP,NL0009739416,current
Signify N.V.,2026-03-03,1.92,Marshall Wace LLP,NL0011821392,current
NSI N.V.,2026-03-03,0.52,Numeric Investors LLC,NL0012365084,current
Theon International Plc,2026-03-03,0.6,Qube Research & Technologies Ltd.,CY0200751713,current
Alfen N.V.,2026-03-03,2.01,Voleon Capital Management LP,NL0012817175,current
Signify N.V.,2026-03-02,1.7,Citadel Advisors LLC,NL0011821392,current
Wolters Kluwer N.V.,2026-03-02,0.7,"D. E. Shaw & Co., L.P.",NL0000395903,current
Theon International Plc,2026-03-02,0.59,"Two Sigma Investments, LP",CY0200751713,current
Alfen N.V.,2026-03-02,1.95,Voleon Capital Management LP,NL0012817175,current
IMCD N.V.,2026-02-27,0.69,"BlackRock Advisors, LLC",NL0010801007,current
IMCD N.V.,2026-02-27,1.18,"BlackRock Financial Management, Inc.",NL0010801007,current
Signify N.V.,2026-02-27,1.88,Marshall Wace LLP,NL0011821392,current
InPost S.A.,2026-02-27,0.81,"Two Sigma Investments, LP",LU2290522684,current
ARCADIS N.V.,2026-02-26,0.71,"AQR Capital Management, LLC",NL0006237562,current
Signify N.V.,2026-02-26,1.0,Citadel Advisors Europe Limited,NL0011821392,current
Alfen N.V.,2026-02-26,1.38,"D. E. Shaw & Co., L.P.",NL0012817175,current
Signify N.V.,2026-02-26,1.9,Marshall Wace LLP,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-02-26,1.01,Marshall Wace LLP,NL0015002MS2,current
Signify N.V.,2026-02-26,0.78,"PDT Partners, LLC",NL0011821392,current
Akzo Nobel N.V.,2026-02-25,1.14,AKO Capital LLP,NL0013267909,current
DSM-Firmenich AG,2026-02-25,1.12,Ilex Capital Partners (UK) LLP,CH1216478797,current
IMCD N.V.,2026-02-24,1.29,"BlackRock Financial Management, Inc.",NL0010801007,current
ARCADIS N.V.,2026-02-24,0.7,"D. E. Shaw & Co., L.P.",NL0006237562,current
Akzo Nobel N.V.,2026-02-24,1.31,Davidson Kempner Capital Management LP,NL0013267909,current
PostNL N.V.,2026-02-23,0.61,Citadel Advisors LLC,NL0009739416,current
