issuer_name,position_date,isin,net_short_position,position_holder,source
The Magnum Ice Cream Company N.V.,2026-03-05,NL0015002MS2,1.11,Marshall Wace LLP,current
CVC Capital Partners plc,2026-03-05,JE00BRX98089,0.6,Qube Research & Technologies Ltd.,current
Theon International Plc,2026-03-05,CY0200751713,0.64,Qube Research & Technologies Ltd.,current
IMCD N.V.,2026-03-04,NL0010801007,0.61,Acadian Asset Management LLC.,current
Aalberts N.V.,2026-03-04,NL0000852564,0.52,"AQR Capital Management, LLC",current
Signify N.V.,2026-03-04,NL0011821392,1.03,"AQR Capital Management, LLC",current
IMCD N.V.,2026-03-04,NL0010801007,1.06,"BlackRock Financial Management, Inc.",current
PostNL N.V.,2026-03-04,NL0009739416,0.7,Citadel Advisors LLC,current
Signify N.V.,2026-03-04,NL0011821392,1.87,Marshall Wace LLP,current
IMCD N.V.,2026-03-04,NL0010801007,0.71,"PDT Partners, LLC",current
Signify N.V.,2026-03-04,NL0011821392,0.8,"PDT Partners, LLC",current
Theon International Plc,2026-03-04,CY0200751713,0.59,Qube Research & Technologies Ltd.,current
InPost S.A.,2026-03-04,LU2290522684,0.9,"Two Sigma Investments, LP",current
DSM-Firmenich AG,2026-03-03,CH1216478797,1.03,Ilex Capital Partners (UK) LLP,current
Pharming Group N.V.,2026-03-03,NL0010391025,0.77,Lazard Asset Management LLC,current
PostNL N.V.,2026-03-03,NL0009739416,0.69,Marshall Wace LLP,current
Signify N.V.,2026-03-03,NL0011821392,1.92,Marshall Wace LLP,current
NSI N.V.,2026-03-03,NL0012365084,0.52,Numeric Investors LLC,current
Theon International Plc,2026-03-03,CY0200751713,0.6,Qube Research & Technologies Ltd.,current
Alfen N.V.,2026-03-03,NL0012817175,2.01,Voleon Capital Management LP,current
Signify N.V.,2026-03-02,NL0011821392,1.7,Citadel Advisors LLC,current
Wolters Kluwer N.V.,2026-03-02,NL0000395903,0.7,"D. E. Shaw & Co., L.P.",current
Theon International Plc,2026-03-02,CY0200751713,0.59,"Two Sigma Investments, LP",current
Alfen N.V.,2026-03-02,NL0012817175,1.95,Voleon Capital Management LP,current
IMCD N.V.,2026-02-27,NL0010801007,0.69,"BlackRock Advisors, LLC",current
IMCD N.V.,2026-02-27,NL0010801007,1.18,"BlackRock Financial Management, Inc.",current
Signify N.V.,2026-02-27,NL0011821392,1.88,Marshall Wace LLP,current
InPost S.A.,2026-02-27,LU2290522684,0.81,"Two Sigma Investments, LP",current
ARCADIS N.V.,2026-02-26,NL0006237562,0.71,"AQR Capital Management, LLC",current
Signify N.V.,2026-02-26,NL0011821392,1.0,Citadel Advisors Europe Limited,current
Alfen N.V.,2026-02-26,NL0012817175,1.38,"D. E. Shaw & Co., L.P.",current
Signify N.V.,2026-02-26,NL0011821392,1.9,Marshall Wace LLP,current
