position_holder,issuer_name,position_date,isin,net_short_position,source
Citadel Advisors LLC,Sligro Food Group N.V.,2026-04-17,NL0000817179,0.71,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,2026-04-17,NL0011872650,1.12,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-04-17,NL0013267909,1.41,current
Fosse Capital Partners LLP,Basic-Fit N.V.,2026-04-17,NL0011872650,1.02,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-17,NL00150003E1,1.06,current
JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,2026-04-17,NL0010801007,0.91,current
JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,2026-04-17,NL0013332471,1.22,current
Linden Advisors LP,Basic-Fit N.V.,2026-04-17,NL0011872650,0.59,current
Marshall Wace LLP,IMCD N.V.,2026-04-17,NL0010801007,0.65,current
Marshall Wace LLP,PostNL N.V.,2026-04-17,NL0009739416,0.81,current
"PDT Partners, LLC",Signify N.V.,2026-04-17,NL0011821392,0.9,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,2026-04-17,NL0011872650,0.6,current
"Two Sigma Investments, LP",InPost S.A.,2026-04-17,LU2290522684,1.47,current
Walleye Capital LLC,The Magnum Ice Cream Company N.V.,2026-04-17,NL0015002MS2,0.62,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-16,NL0012969182,1.3,current
Citadel Advisors LLC,Signify N.V.,2026-04-16,NL0011821392,2.32,current
JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,2026-04-16,NL0010801007,0.85,current
Lazard Asset Management LLC,Pharming Group N.V.,2026-04-16,NL0010391025,1.18,current
Marshall Wace LLP,IMCD N.V.,2026-04-16,NL0010801007,0.52,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-04-15,CH1216478797,1.23,current
JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,2026-04-15,NL0010801007,0.76,current
Lazard Asset Management LLC,Pharming Group N.V.,2026-04-15,NL0010391025,1.2,current
Marshall Wace LLP,Signify N.V.,2026-04-15,NL0011821392,1.82,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-15,NL0015002MS2,1.15,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-04-14,NL0010801007,0.97,current
Fosse Capital Partners LLP,Basic-Fit N.V.,2026-04-14,NL0011872650,1.23,current
JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,2026-04-14,NL0010801007,0.66,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-14,NL0015002MS2,1.22,current
"PDT Partners, LLC",PostNL N.V.,2026-04-14,NL0009739416,0.5,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-13,NL0012969182,1.21,current
"AQR Capital Management, LLC",ARCADIS N.V.,2026-04-13,NL0006237562,1.01,current
"AQR Capital Management, LLC",CVC Capital Partners plc,2026-04-13,JE00BRX98089,0.71,current
Citadel Advisors LLC,Sligro Food Group N.V.,2026-04-13,NL0000817179,0.61,current
"PDT Partners, LLC",IMCD N.V.,2026-04-13,NL0010801007,0.89,current
Walleye Capital LLC,The Magnum Ice Cream Company N.V.,2026-04-13,NL0015002MS2,0.5,current
"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-04-10,NL0000395903,0.8,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-10,NL0015002MS2,1.38,current
"PDT Partners, LLC",IMCD N.V.,2026-04-10,NL0010801007,0.9,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-09,NL0012969182,1.13,current
Citadel Advisors LLC,Signify N.V.,2026-04-09,NL0011821392,2.42,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-04-09,CH1216478797,1.0,current
Numeric Investors LLC,NSI N.V.,2026-04-09,NL0012365084,0.71,current
"PDT Partners, LLC",IMCD N.V.,2026-04-09,NL0010801007,0.89,current
"AQR Capital Management, LLC",Aalberts N.V.,2026-04-08,NL0000852564,0.61,current
"AQR Capital Management, LLC",Signify N.V.,2026-04-08,NL0011821392,1.22,current
Citadel Advisors LLC,Signify N.V.,2026-04-08,NL0011821392,2.39,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,2026-04-08,NL0015002MS2,0.5,current
"Two Sigma Investments, LP",IMCD N.V.,2026-04-08,NL0010801007,0.79,current
"BlackRock Advisors, LLC",IMCD N.V.,2026-04-07,NL0010801007,0.66,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-04-07,NL0010801007,1.0,current
Capital Fund Management S.A.,IMCD N.V.,2026-04-07,NL0010801007,0.76,current
Citadel Advisors LLC,Signify N.V.,2026-04-07,NL0011821392,2.41,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-04-07,NL0006237562,0.69,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-07,NL0015002MS2,1.46,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-02,NL0012969182,1.0,current
"AQR Capital Management, LLC",CVC Capital Partners plc,2026-04-02,JE00BRX98089,0.61,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-04-02,NL0010801007,0.99,current
Citadel Advisors LLC,Sligro Food Group N.V.,2026-04-02,NL0000817179,0.5,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-04-02,NL0006237562,0.7,current
Eleva Capital SAS,Basic-Fit N.V.,2026-04-02,NL0011872650,0.62,current
"AQR Capital Management, LLC",Signify N.V.,2026-04-01,NL0011821392,1.1,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,2026-04-01,NL0010801007,1.21,current
Canada Pension Plan Investment Board,Signify N.V.,2026-04-01,NL0011821392,0.74,current
Citadel Advisors LLC,Signify N.V.,2026-04-01,NL0011821392,2.36,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-04-01,NL0006237562,0.69,current
Eleva Capital SAS,Basic-Fit N.V.,2026-04-01,NL0011872650,0.5,current
Marshall Wace LLP,Signify N.V.,2026-04-01,NL0011821392,1.79,current
