position_holder,net_short_position,position_date,isin,issuer_name,source
"PDT Partners, LLC",0.9,2026-03-24,NL0010801007,IMCD N.V.,current
"Two Sigma Investments, LP",1.44,2026-03-24,LU2290522684,InPost S.A.,current
"Two Sigma Investments, LP",0.6,2026-03-24,CY0200751713,Theon International Plc,current
"AQR Capital Management, LLC",0.72,2026-03-23,NL0012969182,Adyen N.V.,current
"Arrowstreet Capital, Limited Partnership",1.01,2026-03-23,NL0010801007,IMCD N.V.,current
"BlackRock Financial Management, Inc.",0.6,2026-03-23,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,2.3,2026-03-23,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.69,2026-03-23,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,0.7,2026-03-23,NL0009739416,PostNL N.V.,current
"Two Sigma Investments, LP",1.36,2026-03-23,LU2290522684,InPost S.A.,current
"BlackRock Financial Management, Inc.",0.58,2026-03-20,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,0.75,2026-03-20,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,1.52,2026-03-20,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",0.81,2026-03-20,NL0010801007,IMCD N.V.,current
"Two Sigma Investments, LP",1.26,2026-03-20,LU2290522684,InPost S.A.,current
"AQR Capital Management, LLC",0.8,2026-03-19,NL0006237562,ARCADIS N.V.,current
Marshall Wace LLP,0.6,2026-03-19,JE00BRX98089,CVC Capital Partners plc,current
Marshall Wace LLP,1.43,2026-03-19,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
Winton Capital Management Limited,0.61,2026-03-19,NL0013332471,TomTom N.V.,current
"AQR Capital Management, LLC",0.6,2026-03-18,NL0012969182,Adyen N.V.,current
Ilex Capital Partners (UK) LLP,0.87,2026-03-18,CH1216478797,DSM-Firmenich AG,current
"Two Sigma Investments, LP",1.11,2026-03-18,LU2290522684,InPost S.A.,current
Marshall Wace LLP,1.3,2026-03-16,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.8,2026-03-16,NL0010801007,IMCD N.V.,current
"AQR Capital Management, LLC",0.52,2026-03-13,NL0012969182,Adyen N.V.,current
Ilex Capital Partners (UK) LLP,0.98,2026-03-13,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.52,2026-03-13,JE00BRX98089,CVC Capital Partners plc,current
Canada Pension Plan Investment Board,0.65,2026-03-12,NL0011821392,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.64,2026-03-12,NL0010801007,IMCD N.V.,current
Canada Pension Plan Investment Board,0.57,2026-03-11,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,2.24,2026-03-11,NL0011821392,Signify N.V.,current
Marshall Wace LLP,1.91,2026-03-11,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,2.17,2026-03-10,NL0011821392,Signify N.V.,current
Lazard Asset Management LLC,0.96,2026-03-10,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,1.21,2026-03-10,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",1.03,2026-03-10,LU2290522684,InPost S.A.,current
Winton Capital Management Limited,0.52,2026-03-10,NL0013332471,TomTom N.V.,current
Citadel Advisors LLC,2.06,2026-03-09,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.71,2026-03-09,NL0010801007,IMCD N.V.,current
"BlackRock Advisors, LLC",0.7,2026-03-06,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.88,2026-03-06,NL0011821392,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.81,2026-03-06,NL00150003E1,Fugro N.V.,current
"BlackRock Financial Management, Inc.",1.1,2026-03-05,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.63,2026-03-05,NL0000289213,Wereldhave N.V.,current
Marshall Wace LLP,1.11,2026-03-05,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"AQR Capital Management, LLC",0.52,2026-03-04,NL0000852564,Aalberts N.V.,current
"AQR Capital Management, LLC",1.03,2026-03-04,NL0011821392,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.06,2026-03-04,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.87,2026-03-04,NL0011821392,Signify N.V.,current
"PDT Partners, LLC",0.71,2026-03-04,NL0010801007,IMCD N.V.,current
"PDT Partners, LLC",0.8,2026-03-04,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.9,2026-03-04,LU2290522684,InPost S.A.,current
Ilex Capital Partners (UK) LLP,1.03,2026-03-03,CH1216478797,DSM-Firmenich AG,current
Lazard Asset Management LLC,0.77,2026-03-03,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.69,2026-03-03,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,1.92,2026-03-03,NL0011821392,Signify N.V.,current
Numeric Investors LLC,0.52,2026-03-03,NL0012365084,NSI N.V.,current
Citadel Advisors LLC,1.7,2026-03-02,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.7,2026-03-02,NL0000395903,Wolters Kluwer N.V.,current
"Two Sigma Investments, LP",0.59,2026-03-02,CY0200751713,Theon International Plc,current
"BlackRock Advisors, LLC",0.69,2026-02-27,NL0010801007,IMCD N.V.,current
"BlackRock Financial Management, Inc.",1.18,2026-02-27,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.88,2026-02-27,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.81,2026-02-27,LU2290522684,InPost S.A.,current
"AQR Capital Management, LLC",0.71,2026-02-26,NL0006237562,ARCADIS N.V.,current
Marshall Wace LLP,1.9,2026-02-26,NL0011821392,Signify N.V.,current
Marshall Wace LLP,1.01,2026-02-26,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.78,2026-02-26,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.12,2026-02-25,CH1216478797,DSM-Firmenich AG,current
"BlackRock Financial Management, Inc.",1.29,2026-02-24,NL0010801007,IMCD N.V.,current
"D. E. Shaw & Co., L.P.",0.7,2026-02-24,NL0006237562,ARCADIS N.V.,current
Davidson Kempner Capital Management LP,1.31,2026-02-24,NL0013267909,Akzo Nobel N.V.,current
Citadel Advisors LLC,1.63,2026-02-23,NL0011821392,Signify N.V.,current
Marshall Wace LLP,0.91,2026-02-23,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.8,2026-02-23,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,1.58,2026-02-20,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.6,2026-02-20,NL0000395903,Wolters Kluwer N.V.,current
"Elliott Investment Management, L.P",0.7,2026-02-20,GB00BP6MXD84,Shell plc,current
Marshall Wace LLP,1.84,2026-02-20,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.62,2026-02-19,NL0006237562,ARCADIS N.V.,current
"Two Sigma Investments, LP",0.7,2026-02-19,LU2290522684,InPost S.A.,current
"BlackRock Financial Management, Inc.",1.39,2026-02-18,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.62,2026-02-18,NL0011821392,Signify N.V.,current
Davidson Kempner Capital Management LP,1.23,2026-02-18,NL0013267909,Akzo Nobel N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.72,2026-02-18,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,0.81,2026-02-18,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.63,2026-02-18,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.58,2026-02-17,NL0000289213,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.59,2026-02-17,NL0000395903,Wolters Kluwer N.V.,current
Eleva Capital SAS,0.92,2026-02-17,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.07,2026-02-17,CH1216478797,DSM-Firmenich AG,current
Citadel Advisors LLC,0.6,2026-02-16,NL0000289213,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.6,2026-02-16,NL0000395903,Wolters Kluwer N.V.,current
Ilex Capital Partners (UK) LLP,1.12,2026-02-16,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.7,2026-02-16,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"D. E. Shaw & Co., L.P.",0.59,2026-02-13,NL0000395903,Wolters Kluwer N.V.,current
Marshall Wace LLP,0.79,2026-02-13,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,1.71,2026-02-13,NL0011821392,Signify N.V.,current
Marshall Wace LLP,0.68,2026-02-13,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",0.61,2026-02-13,CY0200751713,Theon International Plc,current
"BlackRock Advisors, LLC",0.73,2026-02-12,NL0010801007,IMCD N.V.,current
"BlackRock Financial Management, Inc.",1.45,2026-02-12,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.58,2026-02-12,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.38,2026-02-12,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.5,2026-02-12,NL0015002MS2,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.78,2026-02-12,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.6,2026-02-12,LU2290522684,InPost S.A.,current
"BlackRock Advisors, LLC",0.9,2026-02-11,NL0010801007,IMCD N.V.,current
"Two Sigma Investments, LP",0.6,2026-02-11,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.58,2026-02-10,NL0000289213,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.79,2026-02-10,NL0009739416,PostNL N.V.,current
Davidson Kempner Capital Management LP,1.1,2026-02-10,NL0013267909,Akzo Nobel N.V.,current
Marshall Wace LLP,1.64,2026-02-10,NL0011821392,Signify N.V.,current
"PDT Partners, LLC",0.5,2026-02-06,NL0010801007,IMCD N.V.,current
"AQR Capital Management, LLC",0.6,2026-02-05,NL0006237562,ARCADIS N.V.,current
"BlackRock Advisors, LLC",1.05,2026-02-05,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.6,2026-02-05,NL0011821392,Signify N.V.,current
Davidson Kempner Capital Management LP,1.02,2026-02-05,NL0013267909,Akzo Nobel N.V.,current
"BlackRock Financial Management, Inc.",1.5,2026-02-04,NL0010801007,IMCD N.V.,current
Caisse de dépôt et placement du Québec,0.66,2026-02-04,NL0010801007,IMCD N.V.,current
Lazard Asset Management LLC,0.89,2026-02-04,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.82,2026-02-04,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,1.51,2026-02-04,NL0011821392,Signify N.V.,current
"Arrowstreet Capital, Limited Partnership",0.9,2026-02-03,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.5,2026-02-03,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.41,2026-02-03,CH1216478797,DSM-Firmenich AG,current
Lazard Asset Management LLC,0.9,2026-02-03,NL0010391025,Pharming Group N.V.,current
"AQR Capital Management, LLC",0.91,2026-02-02,NL0011821392,Signify N.V.,current
Capstone Volatility Master (Cayman) Limited,0.66,2026-02-02,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,1.42,2026-02-02,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.5,2026-02-02,NL0006237562,ARCADIS N.V.,current
Davidson Kempner Capital Management LP,0.93,2026-02-02,NL0013267909,Akzo Nobel N.V.,current
Lazard Asset Management LLC,0.89,2026-02-02,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.78,2026-02-02,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,1.45,2026-02-02,NL0011821392,Signify N.V.,current
"PDT Partners, LLC",0.8,2026-02-02,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,1.25,2026-01-30,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.9,2026-01-30,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,1.39,2026-01-30,NL0011821392,Signify N.V.,current
"PDT Partners, LLC",0.76,2026-01-30,NL0011821392,Signify N.V.,current
Capstone Volatility Master (Cayman) Limited,0.72,2026-01-29,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,1.1,2026-01-29,NL0011821392,Signify N.V.,current
Davidson Kempner Capital Management LP,0.8,2026-01-29,NL0013267909,Akzo Nobel N.V.,current
"BlackRock Advisors, LLC",1.1,2026-01-28,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,1.03,2026-01-28,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.61,2026-01-28,NL0000395903,Wolters Kluwer N.V.,current
Davidson Kempner Capital Management LP,0.67,2026-01-28,NL0013267909,Akzo Nobel N.V.,current
Caisse de dépôt et placement du Québec,0.57,2026-01-27,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.9,2026-01-27,NL0011821392,Signify N.V.,current
Eleva Capital SAS,0.78,2026-01-27,NL0011821392,Signify N.V.,current
Davidson Kempner Capital Management LP,0.51,2026-01-26,NL0013267909,Akzo Nobel N.V.,current
Marshall Wace LLP,1.49,2026-01-26,NL0011821392,Signify N.V.,current
"AQR Capital Management, LLC",0.5,2026-01-22,NL0006237562,ARCADIS N.V.,current
"D. E. Shaw & Co., L.P.",0.89,2026-01-22,NL0009739416,PostNL N.V.,current
Lazard Asset Management LLC,0.91,2026-01-22,NL0010391025,Pharming Group N.V.,current
"BlackRock Advisors, LLC",1.02,2026-01-21,NL0010801007,IMCD N.V.,current
Capstone Volatility Master (Cayman) Limited,0.87,2026-01-21,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,0.89,2026-01-21,NL0009739416,PostNL N.V.,current
"Two Sigma Investments, LP",0.51,2026-01-21,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.81,2026-01-20,NL0011821392,Signify N.V.,current
Citadel Advisors LLC,0.6,2026-01-20,NL0000289213,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.9,2026-01-20,NL0009739416,PostNL N.V.,current
Citadel Advisors LLC,0.77,2026-01-19,NL0011821392,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.4,2026-01-16,NL0010801007,IMCD N.V.,current
Ilex Capital Partners (UK) LLP,1.38,2026-01-16,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.9,2026-01-16,NL0009739416,PostNL N.V.,current
"D. E. Shaw & Co., L.P.",0.51,2026-01-15,NL0000395903,Wolters Kluwer N.V.,current
Marshall Wace LLP,1.59,2026-01-14,NL0011821392,Signify N.V.,current
Marshall Wace LLP,0.81,2026-01-13,NL0009739416,PostNL N.V.,current
"D. E. Shaw & Co., L.P.",0.89,2026-01-12,NL0011872650,Basic-Fit N.V.,current
Capstone Volatility Master (Cayman) Limited,0.91,2026-01-09,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,0.6,2026-01-09,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.88,2026-01-09,NL0009739416,PostNL N.V.,current
"Elliott Investment Management, L.P",0.6,2026-01-09,GB00BP6MXD84,Shell plc,current
"PDT Partners, LLC",0.69,2026-01-09,NL0011821392,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.39,2026-01-08,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.57,2026-01-08,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.9,2026-01-08,NL0009739416,PostNL N.V.,current
"PDT Partners, LLC",0.7,2026-01-08,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.59,2026-01-08,CY0200751713,Theon International Plc,current
Citadel Advisors LLC,0.6,2026-01-07,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.89,2026-01-07,NL0009739416,PostNL N.V.,current
"BlackRock Financial Management, Inc.",1.41,2026-01-06,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.67,2026-01-06,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.6,2026-01-06,CY0200751713,Theon International Plc,current
"BlackRock Financial Management, Inc.",1.39,2026-01-05,NL0010801007,IMCD N.V.,current
Ilex Capital Partners (UK) LLP,1.4,2026-01-05,CH1216478797,DSM-Firmenich AG,current
"Two Sigma Investments, LP",0.59,2026-01-05,CY0200751713,Theon International Plc,current
Marshall Wace LLP,0.78,2026-01-02,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,1.78,2026-01-02,NL0011821392,Signify N.V.,current
"Two Sigma Investments, LP",0.54,2026-01-02,LU2290522684,InPost S.A.,current
"Two Sigma Investments, LP",0.6,2026-01-02,CY0200751713,Theon International Plc,current
Citadel Advisors LLC,0.5,2025-12-30,NL0011821392,Signify N.V.,current
"Arrowstreet Capital, Limited Partnership",0.8,2025-12-23,NL0010801007,IMCD N.V.,current
"BlackRock Financial Management, Inc.",1.4,2025-12-23,NL0010801007,IMCD N.V.,current
LMR Partners LLP,0.62,2025-12-22,NL0013267909,Akzo Nobel N.V.,current
Marshall Wace LLP,1.88,2025-12-22,NL0011821392,Signify N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.68,2025-12-18,NL00150003E1,Fugro N.V.,current
"Arrowstreet Capital, Limited Partnership",0.7,2025-12-16,NL0010801007,IMCD N.V.,current
Ilex Capital Partners (UK) LLP,1.3,2025-12-15,CH1216478797,DSM-Firmenich AG,current
"BlackRock Financial Management, Inc.",1.39,2025-12-12,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.59,2025-12-12,NL0000289213,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.99,2025-12-12,NL0009739416,PostNL N.V.,current
LMR Partners LLP,0.51,2025-12-10,NL0013267909,Akzo Nobel N.V.,current
"BlackRock Financial Management, Inc.",1.4,2025-12-09,NL0010801007,IMCD N.V.,current
"BlackRock Financial Management, Inc.",1.39,2025-12-05,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.9,2025-12-05,NL0011821392,Signify N.V.,current
"AQR Capital Management, LLC",0.81,2025-12-04,NL0011821392,Signify N.V.,current
Marshall Wace LLP,1.89,2025-12-04,NL0011821392,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.4,2025-12-03,NL0010801007,IMCD N.V.,current
Lazard Asset Management LLC,0.83,2025-12-03,NL0010391025,Pharming Group N.V.,current
"D. E. Shaw & Co., L.P.",0.99,2025-12-01,NL0011872650,Basic-Fit N.V.,current
"BlackRock Advisors, LLC",0.9,2025-11-28,NL0010801007,IMCD N.V.,current
Citadel Advisors LLC,0.6,2025-11-28,NL0000289213,Wereldhave N.V.,current
Ilex Capital Partners (UK) LLP,1.2,2025-11-28,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,1.71,2025-11-27,NL0011821392,Signify N.V.,current
"BlackRock Advisors, LLC",0.89,2025-11-25,NL0010801007,IMCD N.V.,current
"D. E. Shaw & Co., L.P.",1.0,2025-11-24,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,1.62,2025-11-24,NL0011821392,Signify N.V.,current
Eleva Capital SAS,0.61,2025-11-21,NL0011821392,Signify N.V.,current
"Elliott Investment Management, L.P",0.59,2025-11-21,GB00BP6MXD84,Shell plc,current
Marshall Wace LLP,0.89,2025-11-21,NL0009739416,PostNL N.V.,current
Marshall Wace LLP,1.5,2025-11-20,NL0011821392,Signify N.V.,current
Marshall Wace LLP,1.37,2025-11-19,NL0011821392,Signify N.V.,current
"AQR Capital Management, LLC",0.7,2025-11-18,NL0011821392,Signify N.V.,current
Capstone Volatility Master (Cayman) Limited,1.02,2025-11-18,NL0010391025,Pharming Group N.V.,current
Marshall Wace LLP,1.24,2025-11-17,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",1.0,2025-11-13,NL0009739416,PostNL N.V.,current
Citadel Advisors LLC,0.59,2025-11-12,NL0000289213,Wereldhave N.V.,current
Ilex Capital Partners (UK) LLP,1.11,2025-11-12,CH1216478797,DSM-Firmenich AG,current
"BlackRock Advisors, LLC",0.99,2025-11-11,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.11,2025-11-11,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.9,2025-11-10,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,1.09,2025-11-10,NL0011821392,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.3,2025-11-07,NL0010801007,IMCD N.V.,current
Capstone Volatility Master (Cayman) Limited,1.14,2025-11-06,NL0010391025,Pharming Group N.V.,current
Lazard Asset Management LLC,0.64,2025-11-06,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,0.62,2025-11-05,NL0000289213,Wereldhave N.V.,current
"BlackRock Advisors, LLC",1.0,2025-11-03,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.1,2025-11-03,NL0011821392,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.26,2025-10-31,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,1.0,2025-10-28,NL0011821392,Signify N.V.,current
"BlackRock Financial Management, Inc.",1.19,2025-10-24,NL0010801007,IMCD N.V.,current
Capstone Volatility Master (Cayman) Limited,0.95,2025-10-24,NL0010391025,Pharming Group N.V.,current
"PDT Partners, LLC",0.67,2025-10-24,NL0011821392,Signify N.V.,current
"BlackRock Advisors, LLC",0.98,2025-10-23,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,0.9,2025-10-23,NL0009739416,PostNL N.V.,current
"AQR Capital Management, LLC",0.6,2025-10-22,NL0011821392,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.0,2025-10-22,CH1216478797,DSM-Firmenich AG,current
Lazard Asset Management LLC,0.58,2025-10-21,NL0010391025,Pharming Group N.V.,current
Citadel Advisors LLC,0.59,2025-10-20,NL0000289213,Wereldhave N.V.,current
Ilex Capital Partners (UK) LLP,0.94,2025-10-20,CH1216478797,DSM-Firmenich AG,current
Marshall Wace LLP,0.8,2025-10-16,NL0009739416,PostNL N.V.,current
"D. E. Shaw & Co., L.P.",0.9,2025-10-14,NL0009739416,PostNL N.V.,current
"D. E. Shaw & Co., L.P.",0.89,2025-10-09,NL0011872650,Basic-Fit N.V.,current
"D. E. Shaw & Co., L.P.",0.9,2025-10-08,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,0.9,2025-10-07,NL0011821392,Signify N.V.,current
"D. E. Shaw & Co., L.P.",0.89,2025-10-06,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,0.74,2025-10-06,NL0009739416,PostNL N.V.,current
"BlackRock Advisors, LLC",1.06,2025-10-03,NL0010801007,IMCD N.V.,current
Marshall Wace LLP,0.69,2025-10-03,NL0009739416,PostNL N.V.,current
"D. E. Shaw & Co., L.P.",0.9,2025-10-02,NL0011872650,Basic-Fit N.V.,current
Marshall Wace LLP,0.51,2025-10-02,NL0009739416,PostNL N.V.,current
Whitebox Advisors LLC,0.6,2025-10-01,NL0010391025,Pharming Group N.V.,current
"BlackRock Advisors, LLC",1.1,2025-09-30,NL0010801007,IMCD N.V.,current
