position_holder,issuer_name,net_short_position,position_date,isin,source
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.02,2026-06-03,NL0013267909,current
LMR Partners LLP,Akzo Nobel N.V.,0.83,2026-06-03,NL0013267909,current
Marshall Wace LLP,DSM-Firmenich AG,0.91,2026-06-03,CH1216478797,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.81,2026-06-03,NL0015002MS2,current
Whitebox Advisors LLC,Pharming Group N.V.,0.58,2026-06-03,NL0010391025,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.2,2026-06-02,NL00150003E1,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.79,2026-06-02,NL0011872650,current
Walleye Capital LLC,Pharming Group N.V.,1.02,2026-06-02,NL0010391025,current
Numeric Investors LLC,NSI N.V.,0.81,2026-06-01,NL0012365084,current
"AQR Capital Management, LLC",Aalberts N.V.,0.59,2026-05-29,NL0000852564,current
"BlackRock Financial Management, Inc.",IMCD N.V.,0.69,2026-05-29,NL0010801007,current
"BlackRock Financial Management, Inc.",Signify N.V.,0.83,2026-05-29,NL0011821392,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,0.58,2026-05-29,NL0013267909,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.85,2026-05-29,CH1216478797,current
Marshall Wace LLP,DSM-Firmenich AG,0.85,2026-05-29,CH1216478797,current
"PDT Partners, LLC",Signify N.V.,1.11,2026-05-29,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.83,2026-05-29,NL0015002MS2,current
Squarepoint Ops LLC,Signify N.V.,0.5,2026-05-29,NL0011821392,current
"Two Sigma Investments, LP",Pharming Group N.V.,1.09,2026-05-29,NL0010391025,current
"AQR Capital Management, LLC",Adyen N.V.,1.18,2026-05-28,NL0012969182,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,0.66,2026-05-28,NL0013267909,current
Linden Advisors LP,Basic-Fit N.V.,0.87,2026-05-28,NL0011872650,current
"Two Sigma Investments, LP",InPost S.A.,1.18,2026-05-28,LU2290522684,current
Walleye Capital LLC,Pharming Group N.V.,0.92,2026-05-28,NL0010391025,current
"AQR Capital Management, LLC",Akzo Nobel N.V.,0.6,2026-05-27,NL0013267909,current
Citadel Advisors LLC,Wereldhave N.V.,0.91,2026-05-27,NL0000289213,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.01,2026-05-27,NL0013267909,current
Numeric Investors LLC,NSI N.V.,0.79,2026-05-27,NL0012365084,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.78,2026-05-27,NL0015002MS2,current
"AQR Capital Management, LLC",Signify N.V.,1.18,2026-05-26,NL0011821392,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.3,2026-05-26,NL0010801007,current
Capital Fund Management S.A.,IMCD N.V.,0.8,2026-05-26,NL0010801007,current
Citadel Advisors LLC,DSM-Firmenich AG,0.91,2026-05-26,CH1216478797,current
Marshall Wace LLP,PostNL N.V.,0.75,2026-05-26,NL0009739416,current
Marshall Wace LLP,Signify N.V.,1.6,2026-05-26,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.8,2026-05-26,NL0015002MS2,current
"PDT Partners, LLC",IMCD N.V.,0.8,2026-05-25,NL0010801007,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.8,2026-05-25,NL0011872650,current
"Algert Global, LLC",Fugro N.V.,0.53,2026-05-22,NL00150003E1,current
Citadel Advisors LLC,DSM-Firmenich AG,0.86,2026-05-22,CH1216478797,current
Citadel Advisors LLC,Signify N.V.,1.6,2026-05-22,NL0011821392,current
Marshall Wace LLP,DSM-Firmenich AG,0.78,2026-05-22,CH1216478797,current
"PDT Partners, LLC",IMCD N.V.,0.79,2026-05-22,NL0010801007,current
Walleye Capital LLC,Pharming Group N.V.,0.8,2026-05-22,NL0010391025,current
Canada Pension Plan Investment Board,Signify N.V.,1.0,2026-05-21,NL0011821392,current
Citadel Advisors LLC,DSM-Firmenich AG,0.74,2026-05-21,CH1216478797,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.71,2026-05-21,CH1216478797,current
Marshall Wace LLP,DSM-Firmenich AG,0.6,2026-05-21,CH1216478797,current
Marshall Wace LLP,Signify N.V.,1.58,2026-05-21,NL0011821392,current
"Two Sigma Investments, LP",Pharming Group N.V.,0.99,2026-05-21,NL0010391025,current
"Two Sigma Investments, LP",InPost S.A.,1.29,2026-05-20,LU2290522684,current
"Two Sigma Investments, LP",Pharming Group N.V.,1.0,2026-05-20,NL0010391025,current
Linden Advisors LP,Basic-Fit N.V.,0.9,2026-05-19,NL0011872650,current
"PDT Partners, LLC",Signify N.V.,1.0,2026-05-19,NL0011821392,current
"AQR Capital Management, LLC",ARCADIS N.V.,0.99,2026-05-18,NL0006237562,current
Citadel Advisors LLC,DSM-Firmenich AG,0.62,2026-05-18,CH1216478797,current
Citadel Advisors LLC,Signify N.V.,1.59,2026-05-18,NL0011821392,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.73,2026-05-18,NL0015002MS2,current
"BlackRock Financial Management, Inc.",IMCD N.V.,0.79,2026-05-15,NL0010801007,current
Citadel Advisors LLC,Wereldhave N.V.,0.82,2026-05-15,NL0000289213,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.68,2026-05-15,NL0015002MS2,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.71,2026-05-15,NL0015002MS2,current
Capital Fund Management S.A.,IMCD N.V.,0.78,2026-05-14,NL0010801007,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,0.89,2026-05-14,NL0011872650,current
"PDT Partners, LLC",IMCD N.V.,0.8,2026-05-14,NL0010801007,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.77,2026-05-14,NL0011872650,current
