net_short_position,issuer_name,position_holder,isin,position_date,source
0.64,Theon International Plc,Qube Research & Technologies Ltd.,CY0200751713,2026-03-05,current
0.61,IMCD N.V.,Acadian Asset Management LLC.,NL0010801007,2026-03-04,current
0.52,Aalberts N.V.,"AQR Capital Management, LLC",NL0000852564,2026-03-04,current
1.03,Signify N.V.,"AQR Capital Management, LLC",NL0011821392,2026-03-04,current
1.06,IMCD N.V.,"BlackRock Financial Management, Inc.",NL0010801007,2026-03-04,current
0.7,PostNL N.V.,Citadel Advisors LLC,NL0009739416,2026-03-04,current
0.64,Koninklijke KPN N.V.,Marshall Wace LLP,NL0000009082,2026-03-04,current
1.87,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-03-04,current
0.71,IMCD N.V.,"PDT Partners, LLC",NL0010801007,2026-03-04,current
0.8,Signify N.V.,"PDT Partners, LLC",NL0011821392,2026-03-04,current
0.59,Theon International Plc,Qube Research & Technologies Ltd.,CY0200751713,2026-03-04,current
0.9,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-03-04,current
1.03,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-03,current
0.77,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2026-03-03,current
0.69,PostNL N.V.,Marshall Wace LLP,NL0009739416,2026-03-03,current
1.92,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-03-03,current
0.52,NSI N.V.,Numeric Investors LLC,NL0012365084,2026-03-03,current
0.6,Theon International Plc,Qube Research & Technologies Ltd.,CY0200751713,2026-03-03,current
2.01,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2026-03-03,current
1.7,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-03-02,current
0.69,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-02,current
0.7,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",NL0000395903,2026-03-02,current
0.59,Theon International Plc,"Two Sigma Investments, LP",CY0200751713,2026-03-02,current
1.95,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2026-03-02,current
0.69,IMCD N.V.,"BlackRock Advisors, LLC",NL0010801007,2026-02-27,current
1.18,IMCD N.V.,"BlackRock Financial Management, Inc.",NL0010801007,2026-02-27,current
0.51,Koninklijke KPN N.V.,Marshall Wace LLP,NL0000009082,2026-02-27,current
1.88,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-02-27,current
0.81,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-02-27,current
0.71,ARCADIS N.V.,"AQR Capital Management, LLC",NL0006237562,2026-02-26,current
1.0,Signify N.V.,Citadel Advisors Europe Limited,NL0011821392,2026-02-26,current
1.38,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2026-02-26,current
1.9,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-02-26,current
1.01,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-02-26,current
0.78,Signify N.V.,"PDT Partners, LLC",NL0011821392,2026-02-26,current
1.14,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2026-02-25,current
1.12,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-02-25,current
1.29,IMCD N.V.,"BlackRock Financial Management, Inc.",NL0010801007,2026-02-24,current
0.7,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",NL0006237562,2026-02-24,current
1.31,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,NL0013267909,2026-02-24,current
0.61,PostNL N.V.,Citadel Advisors LLC,NL0009739416,2026-02-23,current
1.63,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-02-23,current
0.91,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-02-23,current
0.8,Signify N.V.,"PDT Partners, LLC",NL0011821392,2026-02-23,current
1.58,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-02-20,current
0.6,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",NL0000395903,2026-02-20,current
0.7,Shell plc,"Elliott Investment Management, L.P",GB00BP6MXD84,2026-02-20,current
1.84,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-02-20,current
1.17,ARCADIS N.V.,Squarepoint Ops LLC,NL0006237562,2026-02-20,current
1.48,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2026-02-19,current
0.62,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",NL0006237562,2026-02-19,current
0.7,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-02-19,current
1.84,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2026-02-19,current
1.39,IMCD N.V.,"BlackRock Financial Management, Inc.",NL0010801007,2026-02-18,current
1.62,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-02-18,current
1.23,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,NL0013267909,2026-02-18,current
0.72,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-02-18,current
0.81,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-02-18,current
0.63,IMCD N.V.,"PDT Partners, LLC",NL0010801007,2026-02-18,current
1.77,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2026-02-18,current
3.25,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-02-18,current
0.58,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2026-02-17,current
0.59,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",NL0000395903,2026-02-17,current
0.92,Signify N.V.,Eleva Capital SAS,NL0011821392,2026-02-17,current
1.07,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-02-17,current
1.68,Alfen N.V.,Voleon Capital Management LP,NL0012817175,2026-02-17,current
