isin,position_holder,position_date,issuer_name,net_short_position,source
NL0015002MS2,Marshall Wace LLP,2026-03-30,The Magnum Ice Cream Company N.V.,1.59,current
NL0012365084,Numeric Investors LLC,2026-03-30,NSI N.V.,0.61,current
CY0200751713,"Two Sigma Investments, LP",2026-03-30,Theon International Plc,0.7,current
NL0006237562,"AQR Capital Management, LLC",2026-03-27,ARCADIS N.V.,0.9,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-03-27,IMCD N.V.,1.12,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-03-27,IMCD N.V.,1.09,current
NL0010801007,Capital Fund Management S.A.,2026-03-27,IMCD N.V.,0.51,current
NL0006237562,"D. E. Shaw & Co., L.P.",2026-03-27,ARCADIS N.V.,0.7,current
NL0006237562,"D. E. Shaw & Co., L.P.",2026-03-26,ARCADIS N.V.,0.69,current
NL0011821392,Marshall Wace LLP,2026-03-26,Signify N.V.,1.96,current
LU2290522684,"Two Sigma Investments, LP",2026-03-26,InPost S.A.,1.5,current
NL0010801007,Voleon Capital Management LP,2026-03-26,IMCD N.V.,0.5,current
NL0012969182,"AQR Capital Management, LLC",2026-03-25,Adyen N.V.,0.8,current
JE00BRX98089,"AQR Capital Management, LLC",2026-03-25,CVC Capital Partners plc,0.5,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-25,DSM-Firmenich AG,0.82,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-03-24,IMCD N.V.,0.56,current
NL0010391025,Lazard Asset Management LLC,2026-03-24,Pharming Group N.V.,1.14,current
NL0011821392,Marshall Wace LLP,2026-03-24,Signify N.V.,2.0,current
NL0015002MS2,Marshall Wace LLP,2026-03-24,The Magnum Ice Cream Company N.V.,1.6,current
NL0010801007,"PDT Partners, LLC",2026-03-24,IMCD N.V.,0.9,current
LU2290522684,"Two Sigma Investments, LP",2026-03-24,InPost S.A.,1.44,current
CY0200751713,"Two Sigma Investments, LP",2026-03-24,Theon International Plc,0.6,current
NL0012969182,"AQR Capital Management, LLC",2026-03-23,Adyen N.V.,0.72,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-03-23,IMCD N.V.,1.01,current
NL0011821392,"BlackRock Financial Management, Inc.",2026-03-23,Signify N.V.,0.6,current
NL0011821392,Citadel Advisors LLC,2026-03-23,Signify N.V.,2.3,current
NL0009739416,"D. E. Shaw & Co., L.P.",2026-03-23,PostNL N.V.,0.69,current
NL0009739416,Marshall Wace LLP,2026-03-23,PostNL N.V.,0.7,current
LU2290522684,"Two Sigma Investments, LP",2026-03-23,InPost S.A.,1.36,current
NL0011821392,"BlackRock Financial Management, Inc.",2026-03-20,Signify N.V.,0.58,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-20,DSM-Firmenich AG,0.75,current
NL0015002MS2,Marshall Wace LLP,2026-03-20,The Magnum Ice Cream Company N.V.,1.52,current
NL0010801007,"Two Sigma Investments, LP",2026-03-20,IMCD N.V.,0.81,current
LU2290522684,"Two Sigma Investments, LP",2026-03-20,InPost S.A.,1.26,current
NL0006237562,"AQR Capital Management, LLC",2026-03-19,ARCADIS N.V.,0.8,current
JE00BRX98089,Marshall Wace LLP,2026-03-19,CVC Capital Partners plc,0.6,current
NL0015002MS2,Marshall Wace LLP,2026-03-19,The Magnum Ice Cream Company N.V.,1.43,current
NL0013332471,Winton Capital Management Limited,2026-03-19,TomTom N.V.,0.61,current
NL0012969182,"AQR Capital Management, LLC",2026-03-18,Adyen N.V.,0.6,current
