position_holder,position_date,issuer_name,net_short_position,isin,source
Citadel Advisors LLC,2026-05-11,DSM-Firmenich AG,0.5,CH1216478797,current
Citadel Advisors LLC,2026-05-11,Wereldhave N.V.,0.7,NL0000289213,current
"Two Sigma Investments, LP",2026-05-11,Pharming Group N.V.,0.86,NL0010391025,current
"Two Sigma Investments, LP",2026-05-11,Theon International Plc,0.8,CY0200751713,current
Walleye Capital LLC,2026-05-11,Pharming Group N.V.,0.63,NL0010391025,current
Citadel Advisors LLC,2026-05-08,Signify N.V.,1.5,NL0011821392,current
Davidson Kempner Capital Management LP,2026-05-08,Akzo Nobel N.V.,1.72,NL0013267909,current
"Two Sigma Investments, LP",2026-05-08,Pharming Group N.V.,0.75,NL0010391025,current
Walleye Capital LLC,2026-05-08,Pharming Group N.V.,0.53,NL0010391025,current
Lazard Asset Management LLC,2026-05-07,Pharming Group N.V.,0.76,NL0010391025,current
Marshall Wace LLP,2026-05-07,Signify N.V.,1.69,NL0011821392,current
Capital Fund Management S.A.,2026-05-06,IMCD N.V.,0.79,NL0010801007,current
Citadel Advisors LLC,2026-05-06,Signify N.V.,1.41,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-05-06,DSM-Firmenich AG,1.4,CH1216478797,current
"PDT Partners, LLC",2026-05-06,IMCD N.V.,0.77,NL0010801007,current
"PDT Partners, LLC",2026-05-06,Signify N.V.,0.9,NL0011821392,current
Citadel Advisors LLC,2026-05-05,Signify N.V.,1.36,NL0011821392,current
"D. E. Shaw & Co., L.P.",2026-05-05,Basic-Fit N.V.,0.98,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,2026-05-05,TomTom N.V.,1.09,NL0013332471,current
Marshall Wace LLP,2026-05-05,Signify N.V.,1.76,NL0011821392,current
Sculptor Capital Management Europe Limited,2026-05-05,Basic-Fit N.V.,0.65,NL0011872650,current
Capital Fund Management S.A.,2026-05-04,IMCD N.V.,0.81,NL0010801007,current
Davidson Kempner Capital Management LP,2026-05-04,Akzo Nobel N.V.,1.61,NL0013267909,current
"D. E. Shaw & Co., L.P.",2026-04-30,ARCADIS N.V.,0.57,NL0006237562,current
Marshall Wace LLP,2026-04-30,PostNL N.V.,0.89,NL0009739416,current
Marshall Wace LLP,2026-04-30,The Magnum Ice Cream Company N.V.,0.86,NL0015002MS2,current
"PDT Partners, LLC",2026-04-30,Signify N.V.,0.89,NL0011821392,current
Qube Research & Technologies Ltd.,2026-04-30,The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,current
Sculptor Capital Management Europe Limited,2026-04-30,Basic-Fit N.V.,0.59,NL0011872650,current
Citadel Advisors LLC,2026-04-29,Signify N.V.,1.29,NL0011821392,current
Citadel Advisors LLC,2026-04-29,Sligro Food Group N.V.,0.9,NL0000817179,current
Marshall Wace LLP,2026-04-29,PostNL N.V.,0.9,NL0009739416,current
"PDT Partners, LLC",2026-04-29,Signify N.V.,0.9,NL0011821392,current
Citadel Advisors LLC,2026-04-28,Signify N.V.,1.32,NL0011821392,current
JPMorgan Asset Management (UK) Ltd.,2026-04-28,TomTom N.V.,1.17,NL0013332471,current
Marshall Wace LLP,2026-04-28,Signify N.V.,1.8,NL0011821392,current
Marshall Wace LLP,2026-04-28,The Magnum Ice Cream Company N.V.,0.98,NL0015002MS2,current
"AQR Capital Management, LLC",2026-04-27,Adyen N.V.,1.27,NL0012969182,current
Citadel Advisors LLC,2026-04-27,Signify N.V.,1.43,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-04-27,DSM-Firmenich AG,1.3,CH1216478797,current
JPMorgan Asset Management (UK) Ltd.,2026-04-27,Fugro N.V.,2.15,NL00150003E1,current
JPMorgan Asset Management (UK) Ltd.,2026-04-24,Fugro N.V.,2.06,NL00150003E1,current
Linden Advisors LP,2026-04-24,Basic-Fit N.V.,0.82,NL0011872650,current
Marshall Wace LLP,2026-04-24,The Magnum Ice Cream Company N.V.,1.04,NL0015002MS2,current
Citadel Advisors LLC,2026-04-23,Signify N.V.,1.68,NL0011821392,current
Citadel Advisors LLC,2026-04-23,Sligro Food Group N.V.,0.8,NL0000817179,current
Eleva Capital SAS,2026-04-23,Basic-Fit N.V.,0.84,NL0011872650,current
Marshall Wace LLP,2026-04-23,The Magnum Ice Cream Company N.V.,1.11,NL0015002MS2,current
Capstone Volatility Master (Cayman) Limited,2026-04-22,Pharming Group N.V.,0.77,NL0010391025,current
Citadel Advisors LLC,2026-04-22,Signify N.V.,1.71,NL0011821392,current
Citadel Advisors LLC,2026-04-22,Wereldhave N.V.,0.68,NL0000289213,current
Davidson Kempner Capital Management LP,2026-04-22,Akzo Nobel N.V.,1.55,NL0013267909,current
JPMorgan Asset Management (UK) Ltd.,2026-04-22,Fugro N.V.,1.73,NL00150003E1,current
Marshall Wace LLP,2026-04-22,Signify N.V.,1.76,NL0011821392,current
Marshall Wace LLP,2026-04-22,The Magnum Ice Cream Company N.V.,1.09,NL0015002MS2,current
"AQR Capital Management, LLC",2026-04-21,Adyen N.V.,1.3,NL0012969182,current
Canada Pension Plan Investment Board,2026-04-21,Signify N.V.,0.91,NL0011821392,current
Citadel Advisors LLC,2026-04-21,Signify N.V.,1.82,NL0011821392,current
Citadel Advisors LLC,2026-04-21,Wereldhave N.V.,0.7,NL0000289213,current
JPMorgan Asset Management (UK) Ltd.,2026-04-21,Fugro N.V.,1.56,NL00150003E1,current
"PDT Partners, LLC",2026-04-21,Signify N.V.,0.88,NL0011821392,current
"AQR Capital Management, LLC",2026-04-20,Adyen N.V.,1.29,NL0012969182,current
Canada Pension Plan Investment Board,2026-04-20,Signify N.V.,0.87,NL0011821392,current
Citadel Advisors LLC,2026-04-20,Signify N.V.,2.0,NL0011821392,current
"D. E. Shaw & Co., L.P.",2026-04-20,Basic-Fit N.V.,1.06,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,2026-04-20,Fugro N.V.,1.45,NL00150003E1,current
Linden Advisors LP,2026-04-20,Basic-Fit N.V.,0.7,NL0011872650,current
"O'Connor Alternative Investments, LLC",2026-04-20,Akzo Nobel N.V.,1.16,NL0013267909,current
"BlackRock Financial Management, Inc.",2026-04-17,IMCD N.V.,0.89,NL0010801007,current
Citadel Advisors LLC,2026-04-17,Signify N.V.,2.22,NL0011821392,current
Citadel Advisors LLC,2026-04-17,Sligro Food Group N.V.,0.71,NL0000817179,current
"D. E. Shaw & Co., L.P.",2026-04-17,Basic-Fit N.V.,1.12,NL0011872650,current
Davidson Kempner Capital Management LP,2026-04-17,Akzo Nobel N.V.,1.41,NL0013267909,current
Fosse Capital Partners LLP,2026-04-17,Basic-Fit N.V.,1.02,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,2026-04-17,Fugro N.V.,1.06,NL00150003E1,current
JPMorgan Asset Management (UK) Ltd.,2026-04-17,IMCD N.V.,0.91,NL0010801007,current
JPMorgan Asset Management (UK) Ltd.,2026-04-17,TomTom N.V.,1.22,NL0013332471,current
Linden Advisors LP,2026-04-17,Basic-Fit N.V.,0.59,NL0011872650,current
Marshall Wace LLP,2026-04-17,PostNL N.V.,0.81,NL0009739416,current
"PDT Partners, LLC",2026-04-17,Signify N.V.,0.9,NL0011821392,current
Sculptor Capital Management Europe Limited,2026-04-17,Basic-Fit N.V.,0.6,NL0011872650,current
"AQR Capital Management, LLC",2026-04-16,Adyen N.V.,1.3,NL0012969182,current
Citadel Advisors LLC,2026-04-16,Signify N.V.,2.32,NL0011821392,current
JPMorgan Asset Management (UK) Ltd.,2026-04-16,IMCD N.V.,0.85,NL0010801007,current
Lazard Asset Management LLC,2026-04-16,Pharming Group N.V.,1.18,NL0010391025,current
Ilex Capital Partners (UK) LLP,2026-04-15,DSM-Firmenich AG,1.23,CH1216478797,current
JPMorgan Asset Management (UK) Ltd.,2026-04-15,IMCD N.V.,0.76,NL0010801007,current
Lazard Asset Management LLC,2026-04-15,Pharming Group N.V.,1.2,NL0010391025,current
Marshall Wace LLP,2026-04-15,Signify N.V.,1.82,NL0011821392,current
Marshall Wace LLP,2026-04-15,The Magnum Ice Cream Company N.V.,1.15,NL0015002MS2,current
"BlackRock Financial Management, Inc.",2026-04-14,IMCD N.V.,0.97,NL0010801007,current
Fosse Capital Partners LLP,2026-04-14,Basic-Fit N.V.,1.23,NL0011872650,current
JPMorgan Asset Management (UK) Ltd.,2026-04-14,IMCD N.V.,0.66,NL0010801007,current
Marshall Wace LLP,2026-04-14,The Magnum Ice Cream Company N.V.,1.22,NL0015002MS2,current
"PDT Partners, LLC",2026-04-14,PostNL N.V.,0.5,NL0009739416,current
"AQR Capital Management, LLC",2026-04-13,Adyen N.V.,1.21,NL0012969182,current
"AQR Capital Management, LLC",2026-04-13,ARCADIS N.V.,1.01,NL0006237562,current
Citadel Advisors LLC,2026-04-13,Sligro Food Group N.V.,0.61,NL0000817179,current
"PDT Partners, LLC",2026-04-13,IMCD N.V.,0.89,NL0010801007,current
Marshall Wace LLP,2026-04-10,The Magnum Ice Cream Company N.V.,1.38,NL0015002MS2,current
"PDT Partners, LLC",2026-04-10,IMCD N.V.,0.9,NL0010801007,current
"AQR Capital Management, LLC",2026-04-09,Adyen N.V.,1.13,NL0012969182,current
Citadel Advisors LLC,2026-04-09,Signify N.V.,2.42,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-04-09,DSM-Firmenich AG,1.0,CH1216478797,current
Numeric Investors LLC,2026-04-09,NSI N.V.,0.71,NL0012365084,current
"PDT Partners, LLC",2026-04-09,IMCD N.V.,0.89,NL0010801007,current
"AQR Capital Management, LLC",2026-04-08,Aalberts N.V.,0.61,NL0000852564,current
"AQR Capital Management, LLC",2026-04-08,Signify N.V.,1.22,NL0011821392,current
Citadel Advisors LLC,2026-04-08,Signify N.V.,2.39,NL0011821392,current
Qube Research & Technologies Ltd.,2026-04-08,The Magnum Ice Cream Company N.V.,0.5,NL0015002MS2,current
"BlackRock Advisors, LLC",2026-04-07,IMCD N.V.,0.66,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-04-07,IMCD N.V.,1.0,NL0010801007,current
Capital Fund Management S.A.,2026-04-07,IMCD N.V.,0.76,NL0010801007,current
Citadel Advisors LLC,2026-04-07,Signify N.V.,2.41,NL0011821392,current
"D. E. Shaw & Co., L.P.",2026-04-07,ARCADIS N.V.,0.69,NL0006237562,current
Marshall Wace LLP,2026-04-07,The Magnum Ice Cream Company N.V.,1.46,NL0015002MS2,current
"AQR Capital Management, LLC",2026-04-02,Adyen N.V.,1.0,NL0012969182,current
"BlackRock Financial Management, Inc.",2026-04-02,IMCD N.V.,0.99,NL0010801007,current
Citadel Advisors LLC,2026-04-02,Sligro Food Group N.V.,0.5,NL0000817179,current
"D. E. Shaw & Co., L.P.",2026-04-02,ARCADIS N.V.,0.7,NL0006237562,current
Eleva Capital SAS,2026-04-02,Basic-Fit N.V.,0.62,NL0011872650,current
"AQR Capital Management, LLC",2026-04-01,Signify N.V.,1.1,NL0011821392,current
"Arrowstreet Capital, Limited Partnership",2026-04-01,IMCD N.V.,1.21,NL0010801007,current
Canada Pension Plan Investment Board,2026-04-01,Signify N.V.,0.74,NL0011821392,current
Citadel Advisors LLC,2026-04-01,Signify N.V.,2.36,NL0011821392,current
"D. E. Shaw & Co., L.P.",2026-04-01,ARCADIS N.V.,0.69,NL0006237562,current
Eleva Capital SAS,2026-04-01,Basic-Fit N.V.,0.5,NL0011872650,current
Marshall Wace LLP,2026-04-01,Signify N.V.,1.79,NL0011821392,current
Capital Fund Management S.A.,2026-03-31,IMCD N.V.,0.62,NL0010801007,current
Citadel Advisors LLC,2026-03-31,Signify N.V.,2.4,NL0011821392,current
Eleva Capital SAS,2026-03-31,Signify N.V.,1.21,NL0011821392,current
"AQR Capital Management, LLC",2026-03-30,Adyen N.V.,0.9,NL0012969182,current
Eleva Capital SAS,2026-03-30,Signify N.V.,1.05,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-03-30,DSM-Firmenich AG,0.91,CH1216478797,current
Marshall Wace LLP,2026-03-30,Signify N.V.,1.87,NL0011821392,current
Marshall Wace LLP,2026-03-30,The Magnum Ice Cream Company N.V.,1.59,NL0015002MS2,current
Numeric Investors LLC,2026-03-30,NSI N.V.,0.61,NL0012365084,current
"Two Sigma Investments, LP",2026-03-30,Theon International Plc,0.7,CY0200751713,current
"AQR Capital Management, LLC",2026-03-27,ARCADIS N.V.,0.9,NL0006237562,current
"Arrowstreet Capital, Limited Partnership",2026-03-27,IMCD N.V.,1.12,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-03-27,IMCD N.V.,1.09,NL0010801007,current
Capital Fund Management S.A.,2026-03-27,IMCD N.V.,0.51,NL0010801007,current
"D. E. Shaw & Co., L.P.",2026-03-27,ARCADIS N.V.,0.7,NL0006237562,current
"D. E. Shaw & Co., L.P.",2026-03-26,ARCADIS N.V.,0.69,NL0006237562,current
Marshall Wace LLP,2026-03-26,Signify N.V.,1.96,NL0011821392,current
"AQR Capital Management, LLC",2026-03-25,Adyen N.V.,0.8,NL0012969182,current
Ilex Capital Partners (UK) LLP,2026-03-25,DSM-Firmenich AG,0.82,CH1216478797,current
JPMorgan Asset Management (UK) Ltd.,2026-03-24,IMCD N.V.,0.56,NL0010801007,current
Lazard Asset Management LLC,2026-03-24,Pharming Group N.V.,1.14,NL0010391025,current
Marshall Wace LLP,2026-03-24,Signify N.V.,2.0,NL0011821392,current
Marshall Wace LLP,2026-03-24,The Magnum Ice Cream Company N.V.,1.6,NL0015002MS2,current
"PDT Partners, LLC",2026-03-24,IMCD N.V.,0.9,NL0010801007,current
"Two Sigma Investments, LP",2026-03-24,Theon International Plc,0.6,CY0200751713,current
"AQR Capital Management, LLC",2026-03-23,Adyen N.V.,0.72,NL0012969182,current
"Arrowstreet Capital, Limited Partnership",2026-03-23,IMCD N.V.,1.01,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-03-23,Signify N.V.,0.6,NL0011821392,current
Citadel Advisors LLC,2026-03-23,Signify N.V.,2.3,NL0011821392,current
Marshall Wace LLP,2026-03-23,PostNL N.V.,0.7,NL0009739416,current
"BlackRock Financial Management, Inc.",2026-03-20,Signify N.V.,0.58,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-03-20,DSM-Firmenich AG,0.75,CH1216478797,current
Marshall Wace LLP,2026-03-20,The Magnum Ice Cream Company N.V.,1.52,NL0015002MS2,current
"AQR Capital Management, LLC",2026-03-19,ARCADIS N.V.,0.8,NL0006237562,current
Marshall Wace LLP,2026-03-19,The Magnum Ice Cream Company N.V.,1.43,NL0015002MS2,current
"AQR Capital Management, LLC",2026-03-18,Adyen N.V.,0.6,NL0012969182,current
Ilex Capital Partners (UK) LLP,2026-03-18,DSM-Firmenich AG,0.87,CH1216478797,current
Marshall Wace LLP,2026-03-16,The Magnum Ice Cream Company N.V.,1.3,NL0015002MS2,current
"PDT Partners, LLC",2026-03-16,IMCD N.V.,0.8,NL0010801007,current
"AQR Capital Management, LLC",2026-03-13,Adyen N.V.,0.52,NL0012969182,current
Ilex Capital Partners (UK) LLP,2026-03-13,DSM-Firmenich AG,0.98,CH1216478797,current
Canada Pension Plan Investment Board,2026-03-12,Signify N.V.,0.65,NL0011821392,current
JPMorgan Asset Management (UK) Ltd.,2026-03-12,IMCD N.V.,0.64,NL0010801007,current
Canada Pension Plan Investment Board,2026-03-11,Signify N.V.,0.57,NL0011821392,current
Citadel Advisors LLC,2026-03-11,Signify N.V.,2.24,NL0011821392,current
Marshall Wace LLP,2026-03-11,Signify N.V.,1.91,NL0011821392,current
Citadel Advisors LLC,2026-03-10,Signify N.V.,2.17,NL0011821392,current
Lazard Asset Management LLC,2026-03-10,Pharming Group N.V.,0.96,NL0010391025,current
Marshall Wace LLP,2026-03-10,The Magnum Ice Cream Company N.V.,1.21,NL0015002MS2,current
Citadel Advisors LLC,2026-03-09,Signify N.V.,2.06,NL0011821392,current
"BlackRock Advisors, LLC",2026-03-06,IMCD N.V.,0.7,NL0010801007,current
Citadel Advisors LLC,2026-03-06,Signify N.V.,1.88,NL0011821392,current
JPMorgan Asset Management (UK) Ltd.,2026-03-06,Fugro N.V.,0.81,NL00150003E1,current
"BlackRock Financial Management, Inc.",2026-03-05,IMCD N.V.,1.1,NL0010801007,current
Citadel Advisors LLC,2026-03-05,Wereldhave N.V.,0.63,NL0000289213,current
Marshall Wace LLP,2026-03-05,The Magnum Ice Cream Company N.V.,1.11,NL0015002MS2,current
"AQR Capital Management, LLC",2026-03-04,Aalberts N.V.,0.52,NL0000852564,current
"AQR Capital Management, LLC",2026-03-04,Signify N.V.,1.03,NL0011821392,current
"BlackRock Financial Management, Inc.",2026-03-04,IMCD N.V.,1.06,NL0010801007,current
Marshall Wace LLP,2026-03-04,Signify N.V.,1.87,NL0011821392,current
"PDT Partners, LLC",2026-03-04,IMCD N.V.,0.71,NL0010801007,current
"PDT Partners, LLC",2026-03-04,Signify N.V.,0.8,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-03-03,DSM-Firmenich AG,1.03,CH1216478797,current
Lazard Asset Management LLC,2026-03-03,Pharming Group N.V.,0.77,NL0010391025,current
Marshall Wace LLP,2026-03-03,PostNL N.V.,0.69,NL0009739416,current
Marshall Wace LLP,2026-03-03,Signify N.V.,1.92,NL0011821392,current
Numeric Investors LLC,2026-03-03,NSI N.V.,0.52,NL0012365084,current
Citadel Advisors LLC,2026-03-02,Signify N.V.,1.7,NL0011821392,current
"Two Sigma Investments, LP",2026-03-02,Theon International Plc,0.59,CY0200751713,current
"BlackRock Advisors, LLC",2026-02-27,IMCD N.V.,0.69,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-02-27,IMCD N.V.,1.18,NL0010801007,current
Marshall Wace LLP,2026-02-27,Signify N.V.,1.88,NL0011821392,current
"AQR Capital Management, LLC",2026-02-26,ARCADIS N.V.,0.71,NL0006237562,current
Marshall Wace LLP,2026-02-26,Signify N.V.,1.9,NL0011821392,current
Marshall Wace LLP,2026-02-26,The Magnum Ice Cream Company N.V.,1.01,NL0015002MS2,current
"PDT Partners, LLC",2026-02-26,Signify N.V.,0.78,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-02-25,DSM-Firmenich AG,1.12,CH1216478797,current
"BlackRock Financial Management, Inc.",2026-02-24,IMCD N.V.,1.29,NL0010801007,current
"D. E. Shaw & Co., L.P.",2026-02-24,ARCADIS N.V.,0.7,NL0006237562,current
Davidson Kempner Capital Management LP,2026-02-24,Akzo Nobel N.V.,1.31,NL0013267909,current
Citadel Advisors LLC,2026-02-23,Signify N.V.,1.63,NL0011821392,current
Marshall Wace LLP,2026-02-23,The Magnum Ice Cream Company N.V.,0.91,NL0015002MS2,current
"PDT Partners, LLC",2026-02-23,Signify N.V.,0.8,NL0011821392,current
Citadel Advisors LLC,2026-02-20,Signify N.V.,1.58,NL0011821392,current
"Elliott Investment Management, L.P",2026-02-20,Shell plc,0.7,GB00BP6MXD84,current
Marshall Wace LLP,2026-02-20,Signify N.V.,1.84,NL0011821392,current
"D. E. Shaw & Co., L.P.",2026-02-19,ARCADIS N.V.,0.62,NL0006237562,current
"BlackRock Financial Management, Inc.",2026-02-18,IMCD N.V.,1.39,NL0010801007,current
Citadel Advisors LLC,2026-02-18,Signify N.V.,1.62,NL0011821392,current
Davidson Kempner Capital Management LP,2026-02-18,Akzo Nobel N.V.,1.23,NL0013267909,current
JPMorgan Asset Management (UK) Ltd.,2026-02-18,IMCD N.V.,0.72,NL0010801007,current
Marshall Wace LLP,2026-02-18,The Magnum Ice Cream Company N.V.,0.81,NL0015002MS2,current
"PDT Partners, LLC",2026-02-18,IMCD N.V.,0.63,NL0010801007,current
Citadel Advisors LLC,2026-02-17,Wereldhave N.V.,0.58,NL0000289213,current
Eleva Capital SAS,2026-02-17,Signify N.V.,0.92,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-02-17,DSM-Firmenich AG,1.07,CH1216478797,current
Citadel Advisors LLC,2026-02-16,Wereldhave N.V.,0.6,NL0000289213,current
Ilex Capital Partners (UK) LLP,2026-02-16,DSM-Firmenich AG,1.12,CH1216478797,current
Marshall Wace LLP,2026-02-16,The Magnum Ice Cream Company N.V.,0.7,NL0015002MS2,current
Marshall Wace LLP,2026-02-13,PostNL N.V.,0.79,NL0009739416,current
Marshall Wace LLP,2026-02-13,Signify N.V.,1.71,NL0011821392,current
Marshall Wace LLP,2026-02-13,The Magnum Ice Cream Company N.V.,0.68,NL0015002MS2,current
"Two Sigma Investments, LP",2026-02-13,Theon International Plc,0.61,CY0200751713,current
"BlackRock Advisors, LLC",2026-02-12,IMCD N.V.,0.73,NL0010801007,current
"BlackRock Financial Management, Inc.",2026-02-12,IMCD N.V.,1.45,NL0010801007,current
Citadel Advisors LLC,2026-02-12,Signify N.V.,1.58,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-02-12,DSM-Firmenich AG,1.38,CH1216478797,current
Marshall Wace LLP,2026-02-12,The Magnum Ice Cream Company N.V.,0.5,NL0015002MS2,current
"PDT Partners, LLC",2026-02-12,Signify N.V.,0.78,NL0011821392,current
"BlackRock Advisors, LLC",2026-02-11,IMCD N.V.,0.9,NL0010801007,current
Citadel Advisors LLC,2026-02-10,Wereldhave N.V.,0.58,NL0000289213,current
Davidson Kempner Capital Management LP,2026-02-10,Akzo Nobel N.V.,1.1,NL0013267909,current
Marshall Wace LLP,2026-02-10,Signify N.V.,1.64,NL0011821392,current
"PDT Partners, LLC",2026-02-06,IMCD N.V.,0.5,NL0010801007,current
"AQR Capital Management, LLC",2026-02-05,ARCADIS N.V.,0.6,NL0006237562,current
"BlackRock Advisors, LLC",2026-02-05,IMCD N.V.,1.05,NL0010801007,current
Citadel Advisors LLC,2026-02-05,Signify N.V.,1.6,NL0011821392,current
Davidson Kempner Capital Management LP,2026-02-05,Akzo Nobel N.V.,1.02,NL0013267909,current
"BlackRock Financial Management, Inc.",2026-02-04,IMCD N.V.,1.5,NL0010801007,current
Caisse de dépôt et placement du Québec,2026-02-04,IMCD N.V.,0.66,NL0010801007,current
Lazard Asset Management LLC,2026-02-04,Pharming Group N.V.,0.89,NL0010391025,current
Marshall Wace LLP,2026-02-04,PostNL N.V.,0.82,NL0009739416,current
Marshall Wace LLP,2026-02-04,Signify N.V.,1.51,NL0011821392,current
"Arrowstreet Capital, Limited Partnership",2026-02-03,IMCD N.V.,0.9,NL0010801007,current
Citadel Advisors LLC,2026-02-03,Signify N.V.,1.5,NL0011821392,current
Ilex Capital Partners (UK) LLP,2026-02-03,DSM-Firmenich AG,1.41,CH1216478797,current
Lazard Asset Management LLC,2026-02-03,Pharming Group N.V.,0.9,NL0010391025,current
"AQR Capital Management, LLC",2026-02-02,Signify N.V.,0.91,NL0011821392,current
