issuer_name,net_short_position,isin,position_holder,position_date,source
Alfen N.V.,1.38,NL0012817175,"D. E. Shaw & Co., L.P.",2026-02-26,current
Signify N.V.,1.9,NL0011821392,Marshall Wace LLP,2026-02-26,current
The Magnum Ice Cream Company N.V.,1.01,NL0015002MS2,Marshall Wace LLP,2026-02-26,current
Signify N.V.,0.78,NL0011821392,"PDT Partners, LLC",2026-02-26,current
Akzo Nobel N.V.,1.14,NL0013267909,AKO Capital LLP,2026-02-25,current
DSM-Firmenich AG,1.12,CH1216478797,Ilex Capital Partners (UK) LLP,2026-02-25,current
IMCD N.V.,1.29,NL0010801007,"BlackRock Financial Management, Inc.",2026-02-24,current
ARCADIS N.V.,0.7,NL0006237562,"D. E. Shaw & Co., L.P.",2026-02-24,current
Akzo Nobel N.V.,1.31,NL0013267909,Davidson Kempner Capital Management LP,2026-02-24,current
PostNL N.V.,0.61,NL0009739416,Citadel Advisors LLC,2026-02-23,current
Signify N.V.,1.63,NL0011821392,Citadel Advisors LLC,2026-02-23,current
The Magnum Ice Cream Company N.V.,0.91,NL0015002MS2,Marshall Wace LLP,2026-02-23,current
Signify N.V.,0.8,NL0011821392,"PDT Partners, LLC",2026-02-23,current
Signify N.V.,1.58,NL0011821392,Citadel Advisors LLC,2026-02-20,current
Wolters Kluwer N.V.,0.6,NL0000395903,"D. E. Shaw & Co., L.P.",2026-02-20,current
Shell plc,0.7,GB00BP6MXD84,"Elliott Investment Management, L.P",2026-02-20,current
Signify N.V.,1.84,NL0011821392,Marshall Wace LLP,2026-02-20,current
ARCADIS N.V.,1.17,NL0006237562,Squarepoint Ops LLC,2026-02-20,current
Alfen N.V.,1.48,NL0012817175,"D. E. Shaw & Co., L.P.",2026-02-19,current
ARCADIS N.V.,0.62,NL0006237562,"D. E. Shaw & Co., L.P.",2026-02-19,current
InPost S.A.,0.7,LU2290522684,"Two Sigma Investments, LP",2026-02-19,current
Alfen N.V.,1.84,NL0012817175,Voleon Capital Management LP,2026-02-19,current
IMCD N.V.,1.39,NL0010801007,"BlackRock Financial Management, Inc.",2026-02-18,current
