isin,position_holder,issuer_name,net_short_position,position_date,source
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.93,2014-01-08,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.57,2014-01-08,archive
NL0000352565,AKO Capital LLP,Fugro N.V.,2.54,2014-01-07,archive
NL0000352565,Egerton Capital (UK) LLP,Fugro N.V.,0.76,2014-01-07,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.99,2014-01-07,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.8,2014-01-06,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.69,2014-01-06,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.72,2014-01-03,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,1.09,2014-01-03,archive
NL0000387058,"Discovery Capital Management, LLC",TomTom N.V.,0.8,2014-01-02,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,1.1,2013-12-31,archive
NL0000387058,"Cadian Capital Management GP, LLC",TomTom N.V.,0.6,2013-12-30,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.64,2013-12-30,archive
NL0000387058,"Cadian Capital Management GP, LLC",TomTom N.V.,0.53,2013-12-27,archive
NL0000337319,Saemor Capital B.V.,Koninklijke BAM Groep N.V.,0.52,2013-12-27,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.7,2013-12-20,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.5,2013-12-20,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,2.64,2013-12-19,archive
NL0000888691,Elliott Management Corporation,AMG Critical Materials N.V.,0.0,2013-12-18,archive
NL0000352565,TT International,Fugro N.V.,0.51,2013-12-18,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.64,2013-12-17,archive
NL0000352565,Egerton Capital (UK) LLP,Fugro N.V.,0.65,2013-12-17,archive
NL0000395903,GLG Partners LP,Wolters Kluwer N.V.,0.4,2013-12-17,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,1.29,2013-12-16,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,2.52,2013-12-11,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,2.46,2013-12-10,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,1.33,2013-12-10,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,3.03,2013-12-06,archive
