position_date,isin,position_holder,issuer_name,net_short_position,source
2026-05-29,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,0.58,current
2026-05-29,CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.85,current
2026-05-29,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.85,current
2026-05-29,NL0011821392,"PDT Partners, LLC",Signify N.V.,1.11,current
2026-05-29,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.83,current
2026-05-29,NL0011821392,Squarepoint Ops LLC,Signify N.V.,0.5,current
2026-05-29,NL0010391025,"Two Sigma Investments, LP",Pharming Group N.V.,1.09,current
2026-05-28,NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,1.18,current
2026-05-28,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,0.66,current
2026-05-28,NL0011872650,Linden Advisors LP,Basic-Fit N.V.,0.87,current
2026-05-28,LU2290522684,"Two Sigma Investments, LP",InPost S.A.,1.18,current
2026-05-28,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,0.92,current
2026-05-27,NL0013267909,"AQR Capital Management, LLC",Akzo Nobel N.V.,0.6,current
2026-05-27,NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,0.91,current
2026-05-27,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.01,current
2026-05-27,NL0012365084,Numeric Investors LLC,NSI N.V.,0.79,current
2026-05-27,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.78,current
2026-05-26,NL0011821392,"AQR Capital Management, LLC",Signify N.V.,1.18,current
2026-05-26,NL0010801007,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.3,current
2026-05-26,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.8,current
2026-05-26,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.91,current
2026-05-26,NL0009739416,Marshall Wace LLP,PostNL N.V.,0.75,current
2026-05-26,NL0011821392,Marshall Wace LLP,Signify N.V.,1.6,current
2026-05-26,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.8,current
2026-05-25,NL0010801007,"PDT Partners, LLC",IMCD N.V.,0.8,current
2026-05-25,NL0011872650,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.8,current
2026-05-22,NL00150003E1,"Algert Global, LLC",Fugro N.V.,0.53,current
2026-05-22,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,0.86,current
2026-05-22,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.6,current
2026-05-22,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.78,current
2026-05-22,NL0010801007,"PDT Partners, LLC",IMCD N.V.,0.79,current
2026-05-22,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,0.8,current
2026-05-21,NL0011821392,Canada Pension Plan Investment Board,Signify N.V.,1.0,current
