position_holder,net_short_position,isin,position_date,issuer_name,source
"AQR Capital Management, LLC",0.74,NL0013267909,2026-02-13,Akzo Nobel N.V.,current
"Connor, Clark & Lunn Investment Management Ltd.",0.68,LU2290522684,2026-02-13,InPost S.A.,current
"D. E. Shaw & Co., L.P.",0.59,NL0000395903,2026-02-13,Wolters Kluwer N.V.,current
Marshall Wace LLP,0.79,NL0009739416,2026-02-13,PostNL N.V.,current
Marshall Wace LLP,1.71,NL0011821392,2026-02-13,Signify N.V.,current
Marshall Wace LLP,0.68,NL0015002MS2,2026-02-13,The Magnum Ice Cream Company N.V.,current
"Two Sigma Investments, LP",0.61,CY0200751713,2026-02-13,Theon International Plc,current
Voleon Capital Management LP,1.51,NL0012817175,2026-02-13,Alfen N.V.,current
"WorldQuant, LLC",3.01,NL0012817175,2026-02-13,Alfen N.V.,current
"BlackRock Advisors, LLC",0.73,NL0010801007,2026-02-12,IMCD N.V.,current
