isin,net_short_position,position_date,position_holder,issuer_name,source
NL0012817175,1.48,2026-02-19,"D. E. Shaw & Co., L.P.",Alfen N.V.,current
NL0006237562,0.62,2026-02-19,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
LU2290522684,0.7,2026-02-19,"Two Sigma Investments, LP",InPost S.A.,current
NL0012817175,1.84,2026-02-19,Voleon Capital Management LP,Alfen N.V.,current
NL0015002IE0,1.97,2026-02-19,Voleon Capital Management LP,Avantium N.V.,current
NL0010801007,1.39,2026-02-18,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0011821392,1.62,2026-02-18,Citadel Advisors LLC,Signify N.V.,current
NL0013267909,1.23,2026-02-18,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,current
NL0010801007,0.72,2026-02-18,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
NL0015002MS2,0.81,2026-02-18,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0010801007,0.63,2026-02-18,"PDT Partners, LLC",IMCD N.V.,current
NL0013267909,1.1,2026-02-18,UBS Asset Management (Americas) LLC,Akzo Nobel N.V.,current
NL0012817175,1.77,2026-02-18,Voleon Capital Management LP,Alfen N.V.,current
NL0012817175,3.25,2026-02-18,"WorldQuant, LLC",Alfen N.V.,current
NL0000289213,0.58,2026-02-17,Citadel Advisors LLC,Wereldhave N.V.,current
NL0000395903,0.59,2026-02-17,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,current
NL0011821392,0.92,2026-02-17,Eleva Capital SAS,Signify N.V.,current
CH1216478797,1.07,2026-02-17,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
NL0013267909,1.06,2026-02-17,UBS Asset Management (Americas) LLC,Akzo Nobel N.V.,current
NL0012817175,1.68,2026-02-17,Voleon Capital Management LP,Alfen N.V.,current
NL00150003E1,0.6,2026-02-17,Voleon Capital Management LP,Fugro N.V.,current
NL0012817175,3.11,2026-02-17,"WorldQuant, LLC",Alfen N.V.,current
NL0000289213,0.6,2026-02-16,Citadel Advisors LLC,Wereldhave N.V.,current
NL0000395903,0.6,2026-02-16,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,current
CH1216478797,1.12,2026-02-16,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
NL0015002MS2,0.7,2026-02-16,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0015002IE0,2.09,2026-02-16,Voleon Capital Management LP,Avantium N.V.,current
NL0013267909,0.74,2026-02-13,"AQR Capital Management, LLC",Akzo Nobel N.V.,current
LU2290522684,0.68,2026-02-13,"Connor, Clark & Lunn Investment Management Ltd.",InPost S.A.,current
NL0000395903,0.59,2026-02-13,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,current
NL0009739416,0.79,2026-02-13,Marshall Wace LLP,PostNL N.V.,current
