issuer_name,isin,position_date,position_holder,net_short_position,source
PostNL N.V.,NL0009739416,2013-04-23,Archipel Asset Management AB,0.75,archive
Fugro N.V.,NL0000352565,2013-04-23,"Arrowstreet Capital, Limited Partnership",0.51,archive
PostNL N.V.,NL0009739416,2013-04-23,"BlackRock Institutional Trust Company, National Association",0.78,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-23,Marshall Wace LLP,1.02,archive
PostNL N.V.,NL0009739416,2013-04-23,Marshall Wace LLP,0.69,archive
Aperam S.A.,LU0569974404,2013-04-23,TT International,0.49,archive
PostNL N.V.,NL0009739416,2013-04-22,"AQR Capital Management, LLC",0.54,archive
PostNL N.V.,NL0009739416,2013-04-22,"BlackRock Institutional Trust Company, National Association",0.64,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-22,Marshall Wace LLP,1.11,archive
PostNL N.V.,NL0009739416,2013-04-19,"BlackRock Institutional Trust Company, National Association",0.59,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-04-19,"Lucerne Capital Management, L.P.",0.7,archive
PostNL N.V.,NL0009739416,2013-04-19,Oxford Asset Management,1.6,archive
PostNL N.V.,NL0009739416,2013-04-18,Archipel Asset Management AB,0.65,archive
PostNL N.V.,NL0009739416,2013-04-18,"BlackRock Institutional Trust Company, National Association",0.6,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-18,Marshall Wace LLP,1.09,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-17,Marshall Wace LLP,1.1,archive
Aperam S.A.,LU0569974404,2013-04-16,Adage Capital Management L.P.,0.56,archive
PostNL N.V.,NL0009739416,2013-04-16,Archipel Asset Management AB,0.51,archive
AMG Critical Materials N.V.,NL0000888691,2013-04-16,Numeric Investors LLC,0.85,archive
Aperam S.A.,LU0569974404,2013-04-15,Adage Capital Management L.P.,0.67,archive
Fugro N.V.,NL0000352565,2013-04-15,"AQR Capital Management, LLC",0.91,archive
AMG Critical Materials N.V.,NL0000888691,2013-04-15,Numeric Investors LLC,0.75,archive
Aperam S.A.,LU0569974404,2013-04-15,TT International,0.57,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-04-12,"BlackRock Institutional Trust Company, National Association",0.49,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-04-12,"Lucerne Capital Management, L.P.",0.61,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-12,Marshall Wace LLP,1.08,archive
PostNL N.V.,NL0009739416,2013-04-12,Oxford Asset Management,1.54,archive
AMG Critical Materials N.V.,NL0000888691,2013-04-11,Numeric Investors LLC,0.61,archive
PostNL N.V.,NL0009739416,2013-04-10,Oxford Asset Management,1.4,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-09,"AQR Capital Management, LLC",0.49,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-04-09,BlackRock Advisors (UK) Limited,0.89,archive
