position_holder,isin,net_short_position,issuer_name,position_date,source
Acadian Asset Management LLC.,NL0010801007,0.72,IMCD N.V.,2026-03-09,current
AKO Capital LLP,NL0013267909,1.21,Akzo Nobel N.V.,2026-03-09,current
Capital Fund Management S.A.,NL0012969182,0.51,Adyen N.V.,2026-03-09,current
Citadel Advisors LLC,NL0011821392,2.06,Signify N.V.,2026-03-09,current
"Two Sigma Investments, LP",NL0010801007,0.71,IMCD N.V.,2026-03-09,current
"BlackRock Advisors, LLC",NL0010801007,0.7,IMCD N.V.,2026-03-06,current
Citadel Advisors LLC,NL0011821392,1.88,Signify N.V.,2026-03-06,current
JPMorgan Asset Management (UK) Ltd.,NL00150003E1,0.81,Fugro N.V.,2026-03-06,current
Squarepoint Ops LLC,NL0006237562,1.09,ARCADIS N.V.,2026-03-06,current
"BlackRock Financial Management, Inc.",NL0010801007,1.1,IMCD N.V.,2026-03-05,current
Citadel Advisors LLC,NL0000289213,0.63,Wereldhave N.V.,2026-03-05,current
Marshall Wace LLP,NL0000379121,0.5,Randstad N.V.,2026-03-05,current
Marshall Wace LLP,NL0015002MS2,1.11,The Magnum Ice Cream Company N.V.,2026-03-05,current
Qube Research & Technologies Ltd.,JE00BRX98089,0.6,CVC Capital Partners plc,2026-03-05,current
Qube Research & Technologies Ltd.,CY0200751713,0.64,Theon International Plc,2026-03-05,current
Acadian Asset Management LLC.,NL0010801007,0.61,IMCD N.V.,2026-03-04,current
"AQR Capital Management, LLC",NL0000852564,0.52,Aalberts N.V.,2026-03-04,current
"AQR Capital Management, LLC",NL0011821392,1.03,Signify N.V.,2026-03-04,current
"BlackRock Financial Management, Inc.",NL0010801007,1.06,IMCD N.V.,2026-03-04,current
Marshall Wace LLP,NL0011821392,1.87,Signify N.V.,2026-03-04,current
"PDT Partners, LLC",NL0010801007,0.71,IMCD N.V.,2026-03-04,current
"PDT Partners, LLC",NL0011821392,0.8,Signify N.V.,2026-03-04,current
Qube Research & Technologies Ltd.,CY0200751713,0.59,Theon International Plc,2026-03-04,current
"Two Sigma Investments, LP",LU2290522684,0.9,InPost S.A.,2026-03-04,current
Ilex Capital Partners (UK) LLP,CH1216478797,1.03,DSM-Firmenich AG,2026-03-03,current
Lazard Asset Management LLC,NL0010391025,0.77,Pharming Group N.V.,2026-03-03,current
Marshall Wace LLP,NL0009739416,0.69,PostNL N.V.,2026-03-03,current
Marshall Wace LLP,NL0011821392,1.92,Signify N.V.,2026-03-03,current
Numeric Investors LLC,NL0012365084,0.52,NSI N.V.,2026-03-03,current
Qube Research & Technologies Ltd.,CY0200751713,0.6,Theon International Plc,2026-03-03,current
