isin,position_date,issuer_name,position_holder,net_short_position,source
NL0015002MS2,2026-04-08,The Magnum Ice Cream Company N.V.,Qube Research & Technologies Ltd.,0.5,current
NL0010801007,2026-04-08,IMCD N.V.,"Two Sigma Investments, LP",0.79,current
NL0010801007,2026-04-07,IMCD N.V.,"BlackRock Advisors, LLC",0.66,current
NL0010801007,2026-04-07,IMCD N.V.,"BlackRock Financial Management, Inc.",1.0,current
NL0010801007,2026-04-07,IMCD N.V.,Capital Fund Management S.A.,0.76,current
NL0011821392,2026-04-07,Signify N.V.,Citadel Advisors LLC,2.41,current
NL0006237562,2026-04-07,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.69,current
NL0015002MS2,2026-04-07,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.46,current
NL0012969182,2026-04-02,Adyen N.V.,"AQR Capital Management, LLC",1.0,current
JE00BRX98089,2026-04-02,CVC Capital Partners plc,"AQR Capital Management, LLC",0.61,current
NL0010801007,2026-04-02,IMCD N.V.,"BlackRock Financial Management, Inc.",0.99,current
NL0000817179,2026-04-02,Sligro Food Group N.V.,Citadel Advisors LLC,0.5,current
NL0006237562,2026-04-02,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.7,current
NL0011872650,2026-04-02,Basic-Fit N.V.,Eleva Capital SAS,0.62,current
NL0011821392,2026-04-01,Signify N.V.,"AQR Capital Management, LLC",1.1,current
NL0010801007,2026-04-01,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",1.21,current
NL0011821392,2026-04-01,Signify N.V.,Canada Pension Plan Investment Board,0.74,current
NL0011821392,2026-04-01,Signify N.V.,Citadel Advisors LLC,2.36,current
NL0006237562,2026-04-01,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.69,current
NL0011872650,2026-04-01,Basic-Fit N.V.,Eleva Capital SAS,0.5,current
NL0011821392,2026-04-01,Signify N.V.,Marshall Wace LLP,1.79,current
NL0010801007,2026-03-31,IMCD N.V.,Capital Fund Management S.A.,0.62,current
NL0011821392,2026-03-31,Signify N.V.,Citadel Advisors LLC,2.4,current
NL0011821392,2026-03-31,Signify N.V.,Eleva Capital SAS,1.21,current
NL0012969182,2026-03-30,Adyen N.V.,"AQR Capital Management, LLC",0.9,current
NL0011821392,2026-03-30,Signify N.V.,Eleva Capital SAS,1.05,current
CH1216478797,2026-03-30,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,0.91,current
NL0011821392,2026-03-30,Signify N.V.,Marshall Wace LLP,1.87,current
NL0015002MS2,2026-03-30,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.59,current
NL0012365084,2026-03-30,NSI N.V.,Numeric Investors LLC,0.61,current
