isin,position_holder,position_date,net_short_position,issuer_name,source
NL0010391025,Jupiter Asset Management Ltd.,2026-04-30,0.5,Pharming Group N.V.,current
NL0009739416,Marshall Wace LLP,2026-04-30,0.89,PostNL N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-04-30,0.86,The Magnum Ice Cream Company N.V.,current
NL0011821392,"PDT Partners, LLC",2026-04-30,0.89,Signify N.V.,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-04-30,0.6,The Magnum Ice Cream Company N.V.,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-04-30,0.59,Basic-Fit N.V.,current
NL0006237562,White Creek Capital LLP,2026-04-30,0.56,ARCADIS N.V.,current
NL0011821392,Citadel Advisors LLC,2026-04-29,1.29,Signify N.V.,current
NL0000817179,Citadel Advisors LLC,2026-04-29,0.9,Sligro Food Group N.V.,current
NL0000395903,"D. E. Shaw & Co., L.P.",2026-04-29,0.79,Wolters Kluwer N.V.,current
JE00BRX98089,Marshall Wace LLP,2026-04-29,0.71,CVC Capital Partners plc,current
NL0009739416,Marshall Wace LLP,2026-04-29,0.9,PostNL N.V.,current
NL0011821392,"PDT Partners, LLC",2026-04-29,0.9,Signify N.V.,current
NL0011821392,Citadel Advisors LLC,2026-04-28,1.32,Signify N.V.,current
NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-04-28,1.17,TomTom N.V.,current
NL0011821392,Marshall Wace LLP,2026-04-28,1.8,Signify N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-04-28,0.98,The Magnum Ice Cream Company N.V.,current
NL0012969182,"AQR Capital Management, LLC",2026-04-27,1.27,Adyen N.V.,current
NL0011821392,Citadel Advisors LLC,2026-04-27,1.43,Signify N.V.,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-04-27,1.3,DSM-Firmenich AG,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-27,2.15,Fugro N.V.,current
NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-24,2.06,Fugro N.V.,current
NL0011872650,Linden Advisors LP,2026-04-24,0.82,Basic-Fit N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-04-24,1.04,The Magnum Ice Cream Company N.V.,current
NL0011821392,Citadel Advisors LLC,2026-04-23,1.68,Signify N.V.,current
NL0000817179,Citadel Advisors LLC,2026-04-23,0.8,Sligro Food Group N.V.,current
NL0011872650,Eleva Capital SAS,2026-04-23,0.84,Basic-Fit N.V.,current
NL0015002MS2,Marshall Wace LLP,2026-04-23,1.11,The Magnum Ice Cream Company N.V.,current
