position_holder,net_short_position,position_date,issuer_name,isin,source
Citadel Advisors LLC,1.51,2024-07-17,Alfen N.V.,NL0012817175,archive
Citadel Advisors LLC,0.44,2024-07-17,ArcelorMittal S.A.,LU1598757687,archive
Citadel Securities (Europe) Limited,0.63,2024-07-17,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.5,2024-07-17,TomTom N.V.,NL0013332471,archive
Marshall Wace LLP,2.11,2024-07-17,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.7,2024-07-17,Koninklijke Philips N.V.,NL0000009538,archive
Millennium Capital Partners LLP,1.03,2024-07-17,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,0.48,2024-07-17,IMCD N.V.,NL0010801007,archive
Qube Research & Technologies Ltd.,2.17,2024-07-17,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.09,2024-07-17,PostNL N.V.,NL0009739416,archive
Walleye Capital LLC,0.46,2024-07-17,Alfen N.V.,NL0012817175,archive
Whitebox Advisors LLC,0.97,2024-07-17,CM.com N.V.,NL0012747059,archive
Citadel Advisors LLC,1.64,2024-07-16,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.77,2024-07-16,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
"D. E. Shaw & Co., L.P.",0.92,2024-07-16,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,1.09,2024-07-16,PostNL N.V.,NL0009739416,archive
"Point72 Europe (London), LLP",0.45,2024-07-16,Signify N.V.,NL0011821392,archive
Qube Research & Technologies Ltd.,2.23,2024-07-16,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.41,2024-07-16,AMG Critical Materials N.V.,NL0000888691,archive
Qube Research & Technologies Ltd.,0.81,2024-07-16,Basic-Fit N.V.,NL0011872650,archive
Voleon Capital Management LP,0.92,2024-07-16,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
Walleye Capital LLC,0.51,2024-07-16,Alfen N.V.,NL0012817175,archive
BlackRock Investment Management (UK) Limited,1.03,2024-07-15,Signify N.V.,NL0011821392,archive
Capital Fund Management S.A.,0.62,2024-07-15,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.55,2024-07-15,Alfen N.V.,NL0012817175,archive
Citadel Advisors LLC,0.53,2024-07-15,ArcelorMittal S.A.,LU1598757687,archive
Citadel Advisors LLC,0.52,2024-07-15,TomTom N.V.,NL0013332471,archive
Citadel Securities (Europe) Limited,0.54,2024-07-15,Alfen N.V.,NL0012817175,archive
"Cubist Systematic Strategies, LLC",0.49,2024-07-15,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,0.58,2024-07-15,IMCD N.V.,NL0010801007,archive
Millennium International Management LP,1.67,2024-07-15,Pharming Group N.V.,NL0010391025,archive
"PDT Partners, LLC",0.93,2024-07-15,Alfen N.V.,NL0012817175,archive
