issuer_name,position_date,isin,position_holder,net_short_position,source
Fugro N.V.,2014-05-06,NL0000352565,BlackRock Investment Management (UK) Limited,0.7,archive
Fugro N.V.,2014-05-06,NL0000352565,Marshall Wace LLP,0.57,archive
SBM Offshore N.V.,2014-05-05,NL0000360618,"AQR Capital Management, LLC",0.61,archive
Fugro N.V.,2014-05-05,NL0000352565,"WorldQuant, LLC",0.45,archive
TomTom N.V.,2014-04-29,NL0000387058,TT International,0.82,archive
Koninklijke Vopak N.V.,2014-04-28,NL0009432491,Fil Investment Services (UK) Limited,0.62,archive
PostNL N.V.,2014-04-28,NL0009739416,Marshall Wace LLP,0.46,archive
Fugro N.V.,2014-04-28,NL0000352565,"WorldQuant, LLC",0.57,archive
PostNL N.V.,2014-04-25,NL0009739416,Marshall Wace LLP,0.56,archive
Fugro N.V.,2014-04-25,NL0000352565,"WorldQuant, LLC",0.65,archive
PostNL N.V.,2014-04-24,NL0009739416,Marshall Wace LLP,0.65,archive
TomTom N.V.,2014-04-24,NL0000387058,TT International,0.68,archive
TomTom N.V.,2014-04-23,NL0000387058,TT International,0.76,archive
SBM Offshore N.V.,2014-04-17,NL0000360618,"AQR Capital Management, LLC",0.53,archive
Fugro N.V.,2014-04-15,NL0000352565,BlackRock Investment Management (UK) Limited,0.69,archive
Fugro N.V.,2014-04-15,NL0000352565,Marshall Wace LLP,0.47,archive
Aperam S.A.,2014-04-11,LU0569974404,Adage Capital Management L.P.,2.57,archive
Fugro N.V.,2014-04-11,NL0000352565,Marshall Wace LLP,0.54,archive
Fugro N.V.,2014-04-11,NL0000352565,"WorldQuant, LLC",0.73,archive
Fugro N.V.,2014-04-10,NL0000352565,"WorldQuant, LLC",0.66,archive
Aperam S.A.,2014-04-08,LU0569974404,Adage Capital Management L.P.,2.97,archive
Fugro N.V.,2014-04-08,NL0000352565,Marshall Wace LLP,0.67,archive
Koninklijke BAM Groep N.V.,2014-04-07,NL0000337319,AKO Capital LLP,1.16,archive
Fugro N.V.,2014-04-07,NL0000352565,"WorldQuant, LLC",0.51,archive
Koninklijke BAM Groep N.V.,2014-04-04,NL0000337319,AKO Capital LLP,1.06,archive
PostNL N.V.,2014-04-04,NL0009739416,Marshall Wace LLP,0.72,archive
Koninklijke BAM Groep N.V.,2014-04-03,NL0000337319,AKO Capital LLP,0.92,archive
PostNL N.V.,2014-04-03,NL0009739416,Marshall Wace LLP,0.54,archive
Koninklijke BAM Groep N.V.,2014-04-02,NL0000337319,AKO Capital LLP,0.8,archive
Aperam S.A.,2014-04-01,LU0569974404,Adage Capital Management L.P.,3.03,archive
Aperam S.A.,2014-03-31,LU0569974404,Adage Capital Management L.P.,2.84,archive
Koninklijke BAM Groep N.V.,2014-03-31,NL0000337319,AKO Capital LLP,0.7,archive
Koninklijke BAM Groep N.V.,2014-03-28,NL0000337319,AKO Capital LLP,0.62,archive
TomTom N.V.,2014-03-28,NL0000387058,TT International,0.81,archive
Koninklijke BAM Groep N.V.,2014-03-27,NL0000337319,AKO Capital LLP,0.5,archive
Fugro N.V.,2014-03-27,NL0000352565,The Children's Investment Fund Management (UK) LLP,0.49,archive
Fugro N.V.,2014-03-26,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.49,archive
Wereldhave N.V.,2014-03-26,NL0000289213,"BlackRock Institutional Trust Company, National Association",0.59,archive
Aperam S.A.,2014-03-26,LU0569974404,BNP Paribas S.A.,0.71,archive
Fugro N.V.,2014-03-26,NL0000352565,The Children's Investment Fund Management (UK) LLP,0.55,archive
Aperam S.A.,2014-03-25,LU0569974404,BNP Paribas S.A.,0.66,archive
PostNL N.V.,2014-03-25,NL0009739416,Oxford Asset Management,0.44,archive
PostNL N.V.,2014-03-24,NL0009739416,Oxford Asset Management,0.5,archive
Aperam S.A.,2014-03-21,LU0569974404,BNP Paribas S.A.,0.7,archive
TomTom N.V.,2014-03-21,NL0000387058,"Cadian Capital Management GP, LLC",0.45,archive
TomTom N.V.,2014-03-20,NL0000387058,"Cadian Capital Management GP, LLC",0.66,archive
Fugro N.V.,2014-03-19,NL0000352565,Marshall Wace LLP,0.7,archive
SBM Offshore N.V.,2014-03-19,NL0000360618,Marshall Wace LLP,0.39,archive
SBM Offshore N.V.,2014-03-18,NL0000360618,Marshall Wace LLP,0.54,archive
Corbion N.V.,2014-03-18,NL0010583399,Susquehanna International Holdings LLC,0.49,archive
Fugro N.V.,2014-03-17,NL0000352565,Marshall Wace LLP,0.62,archive
Corbion N.V.,2014-03-14,NL0010583399,Susquehanna International Holdings LLC,0.5,archive
TomTom N.V.,2014-03-14,NL0000387058,TT International,0.65,archive
Aperam S.A.,2014-03-13,LU0569974404,Adage Capital Management L.P.,2.72,archive
Fugro N.V.,2014-03-13,NL0000352565,"BlackRock Institutional Trust Company, National Association",0.5,archive
Aperam S.A.,2014-03-13,LU0569974404,BNP Paribas S.A.,0.63,archive
Fugro N.V.,2014-03-12,NL0000352565,AKO Capital LLP,1.81,archive
Koninklijke Heijmans N.V.,2014-03-12,NL0009269109,"BlackRock Institutional Trust Company, National Association",0.89,archive
Fugro N.V.,2014-03-12,NL0000352565,BlackRock Investment Management (UK) Limited,0.71,archive
Fugro N.V.,2014-03-12,NL0000352565,Marshall Wace LLP,0.52,archive
SBM Offshore N.V.,2014-03-12,NL0000360618,Marshall Wace LLP,0.83,archive
Fugro N.V.,2014-03-11,NL0000352565,AKO Capital LLP,2.05,archive
Koninklijke Heijmans N.V.,2014-03-11,NL0009269109,BlackRock Investment Management (UK) Limited,0.67,archive
Aperam S.A.,2014-03-10,LU0569974404,Adage Capital Management L.P.,3.03,archive
Fugro N.V.,2014-03-10,NL0000352565,AKO Capital LLP,2.14,archive
Fugro N.V.,2014-03-07,NL0000352565,AKO Capital LLP,2.35,archive
Fugro N.V.,2014-03-07,NL0000352565,BlackRock Investment Management (UK) Limited,0.68,archive
Fugro N.V.,2014-03-07,NL0000352565,Lansdowne Partners Limited,0.64,archive
Corbion N.V.,2014-03-07,NL0010583399,Susquehanna International Holdings LLC,0.48,archive
TomTom N.V.,2014-03-06,NL0000387058,AKO Capital LLP,0.4,archive
SBM Offshore N.V.,2014-03-06,NL0000360618,Marshall Wace LLP,0.72,archive
TomTom N.V.,2014-03-05,NL0000387058,AKO Capital LLP,0.56,archive
Fugro N.V.,2014-03-05,NL0000352565,BlackRock Investment Management (UK) Limited,0.76,archive
Fugro N.V.,2014-03-05,NL0000352565,Lansdowne Partners Limited,0.55,archive
Aperam S.A.,2014-03-04,LU0569974404,Adage Capital Management L.P.,3.27,archive
Wereldhave N.V.,2014-03-04,NL0000289213,"BlackRock Institutional Trust Company, National Association",0.68,archive
SBM Offshore N.V.,2014-03-04,NL0000360618,Marshall Wace LLP,0.6,archive
Corbion N.V.,2014-03-04,NL0010583399,Susquehanna International Holdings LLC,0.57,archive
TomTom N.V.,2014-03-03,NL0000387058,AKO Capital LLP,0.66,archive
SBM Offshore N.V.,2014-03-03,NL0000360618,Marshall Wace LLP,0.52,archive
TomTom N.V.,2014-02-27,NL0000387058,AKO Capital LLP,0.88,archive
TomTom N.V.,2014-02-27,NL0000387058,"Marble Arch Investments, LP",0.43,archive
TomTom N.V.,2014-02-26,NL0000387058,AKO Capital LLP,0.96,archive
Fugro N.V.,2014-02-26,NL0000352565,Marshall Wace LLP,0.49,archive
TomTom N.V.,2014-02-25,NL0000387058,AKO Capital LLP,1.35,archive
Corbion N.V.,2014-02-25,NL0010583399,Susquehanna International Holdings LLC,0.64,archive
TomTom N.V.,2014-02-21,NL0000387058,AKO Capital LLP,1.48,archive
TomTom N.V.,2014-02-20,NL0000387058,AKO Capital LLP,1.56,archive
Koninklijke BAM Groep N.V.,2014-02-20,NL0000337319,JPMorgan Asset Management (UK) Ltd.,0.45,archive
TomTom N.V.,2014-02-19,NL0000387058,AKO Capital LLP,1.69,archive
TomTom N.V.,2014-02-19,NL0000387058,"Marble Arch Investments, LP",0.6,archive
TomTom N.V.,2014-02-18,NL0000387058,AKO Capital LLP,2.05,archive
TomTom N.V.,2014-02-18,NL0000387058,"Marble Arch Investments, LP",0.78,archive
TomTom N.V.,2014-02-17,NL0000387058,AKO Capital LLP,2.26,archive
TomTom N.V.,2014-02-14,NL0000387058,AKO Capital LLP,2.38,archive
TomTom N.V.,2014-02-14,NL0000387058,"Marble Arch Investments, LP",0.96,archive
Koninklijke Heijmans N.V.,2014-02-13,NL0009269109,"BlackRock Institutional Trust Company, National Association",0.99,archive
TomTom N.V.,2014-02-13,NL0000387058,"Marble Arch Investments, LP",1.15,archive
Fugro N.V.,2014-02-13,NL0000352565,The Children's Investment Fund Management (UK) LLP,0.62,archive
Koninklijke Heijmans N.V.,2014-02-12,NL0009269109,BlackRock Advisors (UK) Limited,0.49,archive
Fugro N.V.,2014-02-12,NL0000352565,The Children's Investment Fund Management (UK) LLP,0.55,archive
Fugro N.V.,2014-02-11,NL0000352565,Adelphi Capital LLP,0.66,archive
TomTom N.V.,2014-02-11,NL0000387058,"Cadian Capital Management GP, LLC",0.77,archive
Fugro N.V.,2014-02-10,NL0000352565,Marshall Wace LLP,0.5,archive
Corbion N.V.,2014-02-07,NL0010583399,Susquehanna International Holdings LLC,0.74,archive
Fugro N.V.,2014-02-07,NL0000352565,TT International,0.49,archive
Aperam S.A.,2014-02-06,LU0569974404,Adage Capital Management L.P.,3.51,archive
Fugro N.V.,2014-02-06,NL0000352565,Citadel Europe LLP,0.72,archive
Corbion N.V.,2014-02-05,NL0010583399,Susquehanna International Holdings LLC,0.89,archive
